Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
3263070.748567581,4290.182,4239.697,4020.2424,4381.8794,4308.7275,4584.3335,4426.182,4330.3643,4375.182,3790.485,4488.0,4250.515,4305.6367,4166.5454
3263078.785419464,4291.2124,4241.7573,4019.7275,4380.848,4306.667,4586.9097,4427.2124,4326.7573,4375.6973,3789.4548,4481.303,4242.788,4301.0,4159.3335
3263086.1015319824,4283.485,4237.1216,4011.4849,4390.1216,4305.1216,4586.394,4425.667,4320.5757,4369.5156,3783.2727,4478.2124,4237.636,4292.758,4155.212
3263098.7849235535,4281.4243,4234.5454,4014.576,4382.909,4305.1216,4581.758,4421.031,4314.909,4366.9395,3779.667,4482.3335,4239.182,4292.758,4155.727
3263102.760076523,4289.667,4236.6064,4026.4246,4373.6367,4301.515,4578.152,4414.3335,4310.2725,4365.394,3780.6973,4484.394,4246.394,4299.9697,4158.303
3263117.8200244904,4292.2427,4238.667,4028.485,4381.8794,4299.9697,4578.667,4409.182,4309.2427,4359.727,3780.6973,4480.273,4251.031,4301.0,4160.8794
3263118.7448501587,4290.182,4241.7573,4024.3635,4390.1216,4305.1216,4579.182,4414.8486,4314.3936,4360.758,3776.5762,4477.6973,4251.546,4296.364,4158.303
3263125.9615421295,4294.8184,4243.303,4027.4546,4394.2427,4306.667,4578.667,4422.061,4321.6064,4369.0005,3777.6064,4480.788,4252.0605,4301.515,4162.4243
3263133.846282959,4301.0,4242.788,4034.1519,4399.394,4304.091,4579.6973,4425.667,4329.3335,4373.6367,3784.8184,4483.364,4255.152,4310.788,4172.7275
3263141.861438751,4302.546,4244.8486,4033.6362,4398.3643,4303.061,4581.2427,4428.758,4335.515,4373.6367,3788.4246,4483.364,4254.636,4311.8184,4172.7275
3263150.386095047,4304.6064,4245.364,4034.1519,4392.182,4304.091,4580.7275,4428.2427,4332.9395,4371.576,3782.2424,4483.879,4253.0913,4305.1216,4169.636
3263157.8283309937,4304.6064,4243.303,4039.8184,4387.0303,4305.1216,4581.2427,4425.152,4327.788,4371.061,3779.667,4484.394,4257.7275,4304.6064,4172.2124
3263173.9223003387,4298.9395,4243.303,4040.3335,4387.5454,4304.6064,4580.7275,4423.6064,4324.182,4370.5454,3779.667,4480.788,4260.303,4307.182,4172.7275
3263174.8745441437,4295.3335,4244.3335,4037.2424,4397.8486,4302.546,4580.2124,4422.576,4322.636,4370.5454,3780.182,4481.303,4254.636,4308.7275,4172.7275
3263182.385444641,4294.8184,4242.273,4035.6968,4398.879,4301.0,4578.152,4415.364,4314.909,4370.5454,3779.667,4483.364,4250.515,4309.2427,4171.6973
3263188.8687610626,4292.758,4240.2124,4032.0913,4390.636,4301.0,4573.0,4407.121,4305.1216,4371.061,3779.667,4481.8184,4246.394,4305.6367,4162.94
3263196.9299316406,4284.515,4235.0605,4023.8486,4389.606,4296.364,4567.3335,4401.4546,4302.0303,4364.879,3776.0608,4477.182,4236.6064,4297.909,4152.1216
3263218.883037567,4278.849,4231.4546,4023.3335,4389.091,4297.394,4569.9097,4401.9697,4304.6064,4365.394,3773.4849,4475.1216,4232.485,4295.8486,4151.606
3263221.0354804993,4281.4243,4233.515,4025.394,4377.2427,4299.4546,4570.9395,4406.091,4304.6064,4370.5454,3772.9697,4474.6064,4234.0303,4296.879,4152.1216
3263221.8346595764,4286.0605,4236.6064,4022.818,4370.0303,4297.394,4570.9395,4406.6064,4307.6973,4370.5454,3771.9395,4470.485,4232.485,4292.2427,4147.485
3263234.0161800385,4285.5454,4236.091,4024.8787,4374.1514,4296.364,4575.0605,4413.8184,4320.5757,4375.182,3774.0,4471.515,4231.4546,4288.636,4150.061
3263236.842393875,4288.636,4239.697,4030.5457,4385.485,4302.546,4580.7275,4426.6973,4333.9697,4387.0303,3781.7275,4479.2427,4235.0605,4295.3335,4158.303
3263244.8523044586,4292.2427,4244.8486,4031.0608,4393.212,4303.576,4579.182,4424.1216,4333.4546,4387.5454,3781.7275,4479.758,4239.182,4301.515,4157.788
3263251.8169879913,4287.606,4239.697,4033.1213,4390.1216,4297.909,4573.515,4413.303,4324.697,4381.8794,3778.6367,4476.667,4240.2124,4301.515,4155.727
3263259.8860263824,4286.0605,4235.0605,4041.879,4381.8794,4295.3335,4571.4546,4412.273,4320.5757,4385.485,3782.7578,4478.2124,4241.2427,4302.546,4158.819
3263267.8577899933,4291.7275,4237.1216,4047.5457,4380.848,4296.879,4570.9395,4412.273,4318.515,4385.485,3784.303,4480.788,4245.879,4304.6064,4159.8486
3263275.859117508,4293.788,4237.1216,4046.0,4385.485,4297.394,4569.9097,4406.6064,4312.8486,4378.7876,3778.1213,4479.758,4251.031,4304.091,4161.909
3263283.9312553406,4294.8184,4238.152,4044.4546,4392.182,4298.4243,4569.9097,4403.515,4308.212,4379.8184,3775.0305,4480.273,4250.515,4306.1514,4168.091
3263291.867017746,4295.8486,4241.2427,4047.5457,4395.273,4299.9697,4569.394,4403.515,4309.2427,4381.8794,3773.4849,4478.2124,4247.9395,4303.576,4169.1216
3263303.8806915283,4293.788,4240.2124,4048.0605,4389.091,4298.9395,4569.9097,4404.546,4310.2725,4383.94,3774.0,4476.667,4246.909,4297.394,4165.515
3263311.7558956146,4294.8184,4241.2427,4049.091,4388.5757,4298.4243,4574.546,4406.6064,4316.9697,4390.636,3782.2424,4483.879,4248.9697,4303.061,4166.0303
3263315.852880478,4301.515,4245.879,4058.3638,4394.2427,4301.515,4578.667,4411.2427,4326.2427,4394.758,3787.9092,4488.5156,4252.0605,4313.879,4172.7275
3263341.8979644775,4308.212,4245.879,4065.061,4393.212,4301.0,4577.636,4420.0,4337.0605,4395.273,3789.4548,4486.97,4256.1816,4314.3936,4176.3335
3263342.8316116333,4307.182,4243.303,4060.4243,4390.636,4297.394,4574.546,4423.6064,4343.2427,4396.3037,3792.5457,4486.4546,4260.818,4313.364,4175.8184
3263344.8679447174,4302.546,4243.303,4055.7883,4397.3335,4297.909,4575.5757,4422.576,4341.1816,4396.8184,3791.0002,4489.031,4259.788,4313.879,4173.758
3263346.893310547,4294.8184,4241.2427,4053.7278,4396.3037,4297.394,4577.636,4422.061,4333.9697,4392.182,3780.6973,4479.758,4245.364,4302.546,4165.515
3263354.8262119293,4290.182,4238.152,4047.0305,4388.061,4293.788,4578.667,4422.576,4327.788,4389.606,3774.5151,4468.94,4226.303,4289.667,4151.091
3263362.883090973,4285.5454,4234.0303,4037.2424,4380.333,4292.758,4575.0605,4418.4546,4322.1216,4388.5757,3772.4546,4466.364,4216.5156,4283.485,4140.273
3263370.762825012,4278.849,4237.636,4034.6667,4375.6973,4298.4243,4575.5757,4414.3335,4316.9697,4387.5454,3768.3335,4467.394,4213.9395,4277.8184,4136.152
3263378.8678646088,4273.697,4242.273,4036.2124,4377.2427,4296.879,4578.667,4411.2427,4310.788,4383.94,3765.7578,4467.394,4211.879,4273.697,4136.152
3263386.780500412,4273.697,4237.636,4041.879,4386.0005,4293.273,4578.667,4410.2124,4305.1216,4383.4243,3766.788,4467.909,4215.485,4277.8184,4139.758
3263394.8061466217,4269.5757,4229.394,4042.9094,4384.4546,4293.273,4572.4854,4408.667,4299.9697,4384.9697,3766.788,4470.485,4218.0605,4279.364,4138.727
3263411.9172096252,4267.515,4234.5454,4038.7883,4376.727,4294.303,4569.394,4402.4854,4298.4243,4383.94,3768.3335,4475.1216,4218.0605,4279.879,4136.6665
3263412.873029709,4278.3335,4243.303,4044.4546,4383.94,4293.788,4570.4243,4401.4546,4306.667,4388.5757,3774.5151,4479.2427,4224.758,4288.636,4145.4243
3263417.904138565,4286.0605,4243.303,4056.3032,4393.212,4291.7275,4570.9395,4407.6367,4321.091,4394.2427,3778.6367,4479.2427,4229.909,4296.879,4154.182
3263425.858259201,4278.849,4238.667,4050.121,4388.061,4290.6973,4571.4546,4410.2124,4329.3335,4394.2427,3779.667,4476.152,4222.1816,4296.364,4148.0005
3263433.8898658752,4269.5757,4234.5454,4036.2124,4389.606,4288.636,4568.879,4409.182,4332.9395,4393.727,3780.6973,4476.152,4217.0303,4296.364,4141.8184
3263441.877603531,4273.697,4235.0605,4042.9094,4396.8184,4284.515,4567.3335,4408.667,4336.0303,4396.3037,3782.7578,4481.303,4226.8184,4299.9697,4151.091
3263451.6232013702,4282.4546,4236.6064,4053.7278,4390.636,4283.485,4567.3335,4407.121,4336.546,4393.727,3779.667,4485.9395,4234.5454,4298.4243,4157.273
3263457.9331874847,4284.515,4237.1216,4053.2122,4388.061,4284.0,4568.879,4404.546,4338.6064,4389.091,3773.4849,4481.8184,4230.4243,4295.8486,4152.6367
3263465.8234119415,4285.5454,4236.6064,4055.2727,4390.1216,4281.9395,4566.8184,4405.0605,4341.1816,4389.606,3772.4546,4479.758,4229.909,4299.4546,4153.6665
