Tm,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
287343.66941452026,4262.364,4209.8184,4135.1216,4413.8184,4254.121,4527.152,4378.7876,4281.9395,4427.2124,3733.3032,4406.6064,4207.242,4234.0303,4100.6064
287351.37128829956,4262.879,4209.3027,4133.061,4414.3335,4256.1816,4527.667,4381.8794,4281.4243,4427.2124,3730.2124,4406.6064,4207.242,4231.4546,4101.121
287358.6835861206,4264.4243,4209.3027,4129.9697,4413.303,4257.7275,4530.2427,4386.515,4287.0913,4444.727,3741.5457,4415.879,4219.091,4242.788,4111.4243
287367.53249168396,4260.818,4206.727,4133.576,4406.6064,4250.515,4531.273,4386.515,4295.3335,4452.455,3747.2122,4414.8486,4219.091,4250.0,4112.4546
287374.66192245483,4256.1816,4205.1816,4134.606,4401.4546,4250.515,4529.2124,4387.5454,4298.9395,4447.303,3743.6062,4409.6973,4209.3027,4250.0,4106.273
287382.66468048096,4258.2427,4203.6367,4129.9697,4400.425,4256.1816,4530.758,4387.0303,4299.9697,4449.364,3743.6062,4409.182,4209.3027,4247.4243,4108.8486
287390.70200920105,4259.788,4203.6367,4129.4546,4403.515,4257.2124,4533.8486,4386.0005,4297.394,4449.8794,3745.1516,4412.273,4212.3945,4246.394,4111.9395
287398.6990451813,4260.818,4209.3027,4134.0913,4407.6367,4260.303,4534.364,4387.0303,4293.788,4448.334,3742.576,4411.758,4212.3945,4246.909,4109.364
287406.68654441833,4265.4546,4214.9697,4134.606,4410.7275,4263.9097,4532.8184,4389.091,4292.758,4448.8486,3741.5457,4411.2427,4212.3945,4245.364,4108.8486
287413.6710166931,4267.0,4207.758,4129.4546,4411.2427,4261.3335,4529.2124,4386.0005,4287.606,4435.455,3734.3335,4406.091,4207.758,4236.6064,4101.121
287421.6797351837,4265.4546,4205.6973,4129.9697,4411.2427,4259.788,4525.606,4380.333,4277.303,4413.303,3721.4546,4396.3037,4200.031,4222.6973,4088.7576
287429.69727516174,4266.485,4209.8184,4135.1216,4411.758,4260.818,4526.1216,4376.727,4275.758,4409.6973,3720.4243,4394.2427,4199.0,4223.2124,4090.303
287437.668800354,4265.97,4208.7876,4134.0913,4410.2124,4258.7573,4527.152,4374.6665,4278.3335,4419.485,3724.0308,4398.3643,4202.0913,4235.0605,4099.0605
287445.6582069397,4256.1816,4204.6665,4126.364,4405.5757,4252.5757,4526.1216,4376.212,4277.303,4418.4546,3723.0005,4397.8486,4201.0605,4232.485,4098.546
287461.7352485657,4248.9697,4203.121,4119.667,4402.4854,4249.4854,4526.6367,4379.8184,4277.8184,4410.2124,3725.061,4396.8184,4197.97,4225.273,4096.4854
287463.6604785919,4252.0605,4202.606,4122.2427,4403.0,4250.0,4528.182,4380.848,4283.485,4413.303,3730.7273,4405.5757,4200.031,4230.9395,4098.546
287470.2076911926,4257.7275,4203.6367,4125.3335,4404.0303,4252.5757,4527.152,4380.333,4288.121,4429.788,3734.8484,4414.8486,4206.2124,4237.636,4103.1816
287477.6871204376,4261.8486,4203.6367,4125.3335,4406.6064,4251.546,4528.6973,4382.394,4291.2124,4444.727,3741.0305,4416.909,4212.3945,4242.788,4110.909
287485.0652217865,4263.394,4204.6665,4127.394,4411.758,4253.0913,4533.3335,4383.94,4295.8486,4457.606,3747.7273,4416.394,4216.5156,4250.515,4116.0605
287492.7272796631,4268.031,4205.1816,4126.364,4409.6973,4252.5757,4531.273,4382.909,4293.788,4454.5156,3742.576,4411.2427,4212.909,4244.3335,4110.394
287501.4111995697,4263.394,4203.6367,4120.6973,4400.425,4247.9395,4523.0303,4380.333,4285.5454,4428.2427,3730.2124,4403.0,4203.6367,4232.485,4097.515
287508.6200237274,4253.6064,4201.576,4119.667,4400.9395,4250.0,4525.606,4381.8794,4283.485,4416.909,3725.061,4402.4854,4202.0913,4231.9697,4091.8486
287516.65592193604,4257.2124,4202.606,4121.7275,4409.6973,4254.121,4530.758,4385.485,4290.6973,4437.0005,3732.7878,4408.667,4206.2124,4236.091,4101.121
287524.67155456543,4263.9097,4206.2124,4121.2124,4411.2427,4255.667,4528.182,4389.091,4298.4243,4450.3945,3742.576,4413.303,4205.6973,4241.2427,4111.4243
287532.67884254456,4260.818,4205.1816,4123.273,4405.5757,4256.697,4527.152,4393.212,4297.394,4450.909,3742.0608,4409.6973,4203.121,4245.364,4107.8184
287544.718503952,4260.818,4204.6665,4125.8486,4406.091,4259.788,4529.2124,4395.788,4295.3335,4452.9697,3740.5154,4406.6064,4203.6367,4242.273,4107.303
287548.66218566895,4265.97,4209.3027,4126.879,4410.7275,4261.3335,4528.182,4390.1216,4294.8184,4451.94,3739.485,4407.121,4204.152,4238.152,4115.546
287555.68051338196,4261.8486,4209.8184,4125.3335,4409.6973,4258.7573,4525.091,4379.8184,4287.0913,4434.94,3729.697,4404.546,4204.152,4237.1216,4116.0605
287568.89629364014,4260.303,4203.6367,4123.273,4408.152,4250.515,4522.0,4374.1514,4276.788,4419.485,3722.485,4403.0,4203.6367,4234.0303,4114.0
287571.61593437195,4268.031,4203.6367,4127.394,4412.273,4248.4546,4524.0605,4375.6973,4280.394,4428.758,3729.1821,4409.182,4206.727,4234.0303,4119.667
287579.68831062317,4270.6064,4208.273,4132.5454,4414.8486,4252.5757,4526.1216,4377.2427,4287.0913,4446.273,3733.818,4415.364,4216.5156,4238.152,4121.7275
287588.5634422302,4268.546,4207.242,4133.061,4414.8486,4249.4854,4519.9395,4375.6973,4280.394,4440.0913,3727.6365,4411.2427,4218.0605,4237.636,4115.546
287597.34582901,4268.031,4205.6973,4134.0913,4414.3335,4244.8486,4518.909,4378.2725,4275.758,4423.6064,3724.0308,4405.5757,4214.9697,4234.5454,4111.4243
287606.00113868713,4265.4546,4202.0913,4132.031,4408.152,4244.3335,4521.485,4378.2725,4280.394,4418.4546,3723.0005,4400.425,4210.8486,4227.3335,4107.303
287611.6316318512,4259.273,4196.9395,4124.303,4400.9395,4240.2124,4517.364,4374.1514,4278.849,4407.6367,3715.273,4396.3037,4205.6973,4218.576,4101.121
287619.83156204224,4261.3335,4201.0605,4124.8184,4402.4854,4242.788,4518.909,4377.758,4274.7275,4410.2124,3719.394,4402.4854,4206.2124,4225.273,4102.1514
287626.68228149414,4267.515,4206.727,4129.9697,4405.5757,4251.031,4528.182,4385.485,4285.031,4434.94,3732.273,4411.758,4212.909,4237.636,4111.4243
287635.4327201843,4265.4546,4203.121,4129.4546,4404.0303,4251.546,4527.667,4383.94,4294.8184,4453.485,3736.9094,4413.303,4217.5454,4241.2427,4120.182
287644.28639411926,4267.515,4204.6665,4128.4243,4407.6367,4253.6064,4527.152,4382.909,4292.758,4457.091,3737.9397,4413.8184,4220.121,4244.3335,4121.2124
287652.3172855377,4273.1816,4210.8486,4126.364,4411.758,4257.7275,4527.152,4382.394,4288.636,4458.1216,3740.0002,4414.3335,4219.091,4244.8486,4117.091
287658.7071418762,4273.697,4209.3027,4122.758,4412.273,4262.364,4521.485,4377.758,4289.667,4455.5454,3738.97,4414.3335,4218.576,4242.273,4118.6367
287666.71562194824,4276.273,4207.758,4121.2124,4413.8184,4269.5757,4519.9395,4374.1514,4289.667,4462.2427,3740.0002,4422.576,4228.364,4248.4546,4123.788
287674.6242046356,4284.515,4214.9697,4120.6973,4420.515,4268.546,4522.0,4375.182,4290.6973,4476.152,3747.2122,4434.4243,4240.2124,4254.636,4131.0005
287682.5940608978,4284.0,4218.0605,4123.273,4423.0913,4258.2427,4520.9697,4374.1514,4290.6973,4476.152,3748.758,4433.394,4237.1216,4250.0,4135.1216
287690.6955242157,4276.788,4210.8486,4119.667,4418.4546,4256.697,4525.091,4374.6665,4288.121,4465.8486,3744.1213,4427.7275,4227.3335,4252.0605,4130.485
287697.65758514404,4273.1816,4204.152,4109.879,4410.7275,4253.0913,4527.152,4378.7876,4286.0605,4452.9697,3739.485,4425.667,4219.606,4250.515,4121.7275
287705.7030200958,4271.121,4205.1816,4105.2427,4410.2124,4241.2427,4524.576,4386.0005,4288.121,4442.6665,3735.3638,4422.061,4217.0303,4238.667,4116.5757
287713.6857509613,4269.0605,4207.758,4109.364,4416.394,4242.273,4527.152,4393.727,4296.364,4455.5454,3738.97,4418.9697,4219.606,4241.7573,4114.515
287721.71545028687,4267.0,4207.242,4109.879,4416.909,4250.0,4529.2124,4394.2427,4302.0303,4466.364,3742.576,4418.4546,4217.0303,4248.4546,4109.879
287729.7410964966,4263.9097,4204.6665,4105.758,4411.2427,4246.394,4524.576,4388.5757,4297.394,4450.909,3735.8792,4415.879,4212.3945,4240.2124,4107.8184
287737.75696754456,4264.9395,4205.1816,4109.879,4410.7275,4242.788,4524.0605,4385.485,4296.879,4447.303,3734.8484,4416.909,4214.9697,4240.7275,4113.485
287745.71657180786,4269.0605,4207.242,4118.6367,4411.2427,4247.4243,4527.152,4388.061,4303.061,4468.4243,3744.1213,4424.1216,4222.1816,4252.0605,4122.2427
287753.74269485474,4269.5757,4208.273,4123.788,4408.667,4250.0,4527.152,4387.5454,4304.091,4474.6064,3742.576,4420.515,4223.7275,4252.5757,4123.788
287760.7321739197,4267.0,4206.2124,4119.667,4407.6367,4249.4854,4526.1216,4389.091,4300.485,4460.182,3735.8792,4410.7275,4216.0,4247.4243,4118.1216
287769.44947242737,4265.97,4203.6367,4112.9697,4405.0605,4250.515,4529.7275,4394.2427,4299.9697,4452.9697,3736.9094,4408.667,4204.6665,4244.8486,4112.9697
287777.41289138794,4266.485,4205.1816,4115.546,4404.0303,4248.9697,4529.2124,4395.788,4302.546,4448.8486,3733.818,4408.152,4201.576,4237.1216,4111.9395
287785.07113456726,4273.1816,4210.334,4124.8184,4408.152,4244.8486,4523.5454,4393.212,4305.1216,4449.8794,3729.697,4406.6064,4207.242,4237.1216,4113.485
287792.7176952362,4276.273,4210.8486,4127.394,4413.303,4238.152,4526.6367,4393.727,4306.1514,4456.061,3731.2427,4408.667,4214.455,4244.3335,4115.0303
287801.2111186981,4268.546,4205.6973,4124.303,4410.2124,4233.515,4527.667,4392.697,4304.091,4455.5454,3728.6667,4407.6367,4216.0,4242.788,4110.394
287808.6814880371,4266.485,4204.152,4121.7275,4406.091,4235.5757,4519.4243,4386.0005,4302.546,4445.758,3727.1216,4407.6367,4216.0,4237.1216,4109.364
287818.2690143585,4267.515,4203.121,4118.6367,4404.546,4233.515,4518.909,4378.7876,4298.9395,4442.152,3730.2124,4414.3335,4216.0,4237.1216,4115.546
287823.72403144836,4267.515,4204.152,4119.152,4407.121,4229.394,4525.606,4379.8184,4299.9697,4449.8794,3731.7576,4421.031,4218.576,4243.818,4121.7275
287831.70461654663,4272.667,4211.364,4126.879,4414.8486,4237.636,4527.667,4384.4546,4305.1216,4467.909,3735.8792,4423.0913,4225.273,4251.031,4126.364
287839.73264694214,4276.273,4213.4243,4129.4546,4417.9395,4244.8486,4527.667,4388.061,4305.1216,4477.182,3743.091,4424.6367,4224.758,4254.636,4127.909
287852.7719974518,4267.0,4209.3027,4122.2427,4412.273,4237.1216,4528.6973,4388.061,4301.0,4466.364,3738.4548,4423.6064,4215.485,4250.515,4119.667
287855.65662384033,4257.2124,4207.242,4110.394,4404.0303,4231.4546,4526.6367,4382.909,4297.394,4447.303,3727.6365,4420.515,4208.7876,4242.273,4111.4243
287863.7194633484,4256.697,4204.6665,4105.758,4398.879,4233.515,4525.606,4377.758,4293.788,4436.485,3724.5457,4416.909,4204.6665,4237.636,4109.364
287871.7415332794,4256.697,4202.606,4111.9395,4399.394,4234.5454,4525.606,4378.7876,4290.6973,4428.758,3724.5457,4412.788,4201.0605,4234.0303,4107.8184
287879.7698020935,4256.697,4204.152,4116.0605,4402.4854,4234.0303,4524.576,4379.8184,4292.758,4430.8184,3725.061,4414.3335,4201.576,4237.1216,4109.879
287887.90249824524,4261.3335,4205.1816,4115.0303,4404.0303,4234.5454,4525.091,4380.848,4298.9395,4449.8794,3731.7576,4422.061,4208.273,4247.9395,4116.0605
287894.74964141846,4267.0,4207.758,4115.0303,4406.6064,4237.636,4526.1216,4384.4546,4302.0303,4465.3335,3740.5154,4424.1216,4212.3945,4254.121,4117.6064
287902.74477005005,4267.515,4213.4243,4118.6367,4410.2124,4243.303,4526.6367,4385.485,4302.0303,4471.0005,3741.5457,4427.7275,4217.0303,4254.121,4118.6367
287911.714553833,4269.5757,4214.455,4122.758,4411.2427,4252.0605,4526.6367,4382.394,4301.0,4475.6367,3736.3943,4436.485,4224.2427,4255.667,4127.394
287919.025182724,4279.364,4216.0,4129.4546,4415.364,4264.4243,4527.152,4381.8794,4298.4243,4488.5156,3738.4548,4439.061,4233.0,4258.2427,4134.0913
287927.4754524231,4284.515,4220.6367,4136.6665,4425.152,4268.031,4528.182,4382.394,4298.9395,4495.2124,3745.1516,4438.031,4238.152,4260.303,4130.485
287938.6897087097,4282.97,4220.121,4138.727,4429.273,4253.0913,4526.6367,4378.7876,4296.364,4489.031,3742.576,4438.031,4234.5454,4258.7573,4123.273
287942.6591396332,4281.4243,4219.091,4138.727,4425.667,4244.3335,4525.091,4375.182,4291.7275,4482.3335,3736.9094,4439.061,4235.0605,4253.0913,4125.8486
287954.6859264374,4281.4243,4221.6665,4142.3335,4427.2124,4246.909,4526.6367,4374.6665,4290.182,4485.4243,3735.3638,4440.0913,4243.818,4252.5757,4132.031
287958.63676071167,4286.5757,4222.6973,4144.909,4435.455,4245.879,4529.2124,4375.6973,4289.667,4486.4546,3735.3638,4441.6367,4247.4243,4255.152,4133.061
287968.31369400024,4285.031,4222.1816,4142.848,4432.879,4242.273,4527.152,4376.212,4286.0605,4475.1216,3731.2427,4434.4243,4237.636,4251.546,4125.8486
287973.6957550049,4274.7275,4220.6367,4136.6665,4421.546,4241.7573,4526.6367,4381.364,4290.6973,4462.7583,3730.2124,4425.667,4224.758,4246.909,4120.182
287981.6908836365,4273.1816,4217.5454,4130.485,4417.4243,4238.667,4531.273,4390.1216,4302.546,4472.5454,3735.3638,4428.2427,4223.7275,4252.5757,4121.2124
287989.68863487244,4279.879,4217.5454,4129.4546,4415.364,4235.5757,4532.303,4393.212,4306.1514,4483.879,3741.5457,4432.879,4231.4546,4255.667,4127.394
287997.61033058167,4279.879,4218.0605,4135.1216,4411.2427,4233.515,4527.667,4389.091,4304.6064,4481.8184,3741.5457,4432.364,4236.091,4254.121,4129.4546
