Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
331481,-1856.9618898388717,-1857.8474844285815,-1858.1009165829958,-1857.614060462952,-1856.7044076409243,-1858.5005787129166,-1857.8355074380052,1859.046553651693,-1877.905330542647,-1881.5675612290115,-1879.5821826424342,-1881.7015190816405,-1880.901706425789,1700.5570044166723,-1879.2380521063876,-1880.6240123318537
331482,-4353.83735738273,-4357.902381691794,-4353.515092002572,-4356.0872090304565,-4353.3628236499435,-4354.522852487227,-4352.390059144182,2847.4216364759404,-4336.225444870797,-4340.164819257392,-4336.584190494701,-4343.04550129423,-4340.230400187899,4086.344579166768,-4338.814408393444,-4342.922314740239
331483,-5791.0379826284425,-5797.1956142420895,-5790.585141573523,-5794.458224949629,-5790.770152894276,-5791.645371053478,-5789.021826925455,3387.3566331736533,-5777.1798679976255,-5781.17403168254,-5776.914453379815,-5786.745700532272,-5782.022651442546,5459.984765977404,-5780.0684317032965,-5786.239264956322
331484,-5799.9289728692165,-5806.645794208474,-5800.502856589522,-5803.90460410402,-5799.940459596831,-5801.339856286679,-5799.1092978403585,3203.5446558101667,-5808.104722851584,-5811.934115155184,-5808.143102776725,-5819.393277845924,-5813.408899382948,5440.788645722,-5810.262302100229,-5817.107260425209
331485,-5190.038897950031,-5196.217787244161,-5191.601677927309,-5194.135280001003,-5189.564447589977,-5192.387036138787,-5190.744068254924,2618.9615825358774,-5194.147760736994,-5198.010187094516,-5195.109833709155,-5205.982527613716,-5199.529148157444,4815.115268018111,-5195.280749784497,-5201.509538675678
331486,-5022.96418232197,-5028.227155390301,-5024.6560262782095,-5027.090279500588,-5020.990401429819,-5025.510493406124,-5024.087039949509,2268.2196196074374,-5008.94424334169,-5013.072085723799,-5010.846917690618,-5020.72146555243,-5014.190118034126,4665.23876166656,-5009.344163393846,-5014.787414483473
331487,-5242.345167903948,-5246.624354467716,-5243.376023188113,-5246.301113432386,-5238.666177739614,-5244.090766612508,-5242.212443008709,2232.1972641558523,-5236.8255569614885,-5240.8279292254865,-5239.544622181922,-5248.588605888604,-5242.104533636666,4952.204888933068,-5236.961635022425,-5242.501865673723
331488,-5112.630189203264,-5115.956451252222,-5112.64009957583,-5115.735359399355,-5108.12657331644,-5113.071809427278,-5110.1174026249555,2051.271332974508,-5132.253368471431,-5135.525701933404,-5135.900475496557,-5144.41173239144,-5138.046082842147,4897.235168658075,-5132.620339510053,-5138.981893883523
331489,-4684.032093540189,-4686.790776143716,-4683.0529586252305,-4685.914707963591,-4680.043858810619,-4683.608749528157,-4679.536266328678,1616.9561355082778,-4701.993382362401,-4704.836939127583,-4706.270920733051,-4714.934019093995,-4708.564229092695,4497.5427796221675,-4702.837279655149,-4709.767419683728
331490,-4641.078874501874,-4644.013498553999,-4639.619353909073,-4642.676322402192,-4638.589291091397,-4640.804283855231,-4636.337978073018,1330.3611641618613,-4634.797769393013,-4638.450263854829,-4638.758197958474,-4648.52207662954,-4641.846201979477,4450.042675793447,-4636.038303207675,-4642.6610235462385
331491,-4933.907846837045,-4937.573764508188,-4932.692175743803,-4936.583848371718,-4932.904626348507,-4934.265726529018,-4930.373009749068,1296.9799336584715,-4925.277372940238,-4930.323991408509,-4928.412835693212,-4939.15645067492,-4932.093475970104,4748.149135001404,-4926.7050352313845,-4932.2138979967995
331492,-4850.2772880262555,-4854.536309495283,-4849.518929746473,-4854.082416466376,-4849.722100865075,-4850.754025954197,-4847.837280166703,1117.8821845157695,-4863.223937861102,-4868.6827405941585,-4866.1107074509955,-4876.299200674469,-4869.218600954395,4673.67167591182,-4864.544970391605,-4868.6643722046765
331493,-4398.656795445071,-4402.709560886176,-4397.909154371969,-4402.386758762676,-4397.300627134955,-4398.628019090705,-4396.081307775713,668.7316335015603,-4412.720375802163,-4417.539611349515,-4416.126969448971,-4424.678295118543,-4418.1314586569,4198.000075602211,-4413.751339514705,-4416.9782629172505
331494,-4331.905380770246,-4334.827663118485,-4330.732395408741,-4334.543630802813,-4329.244709940698,-4331.557872749749,-4328.21119982297,360.7867937354071,-4318.954764957445,-4323.397492638994,-4322.755891545521,-4330.492189097802,-4324.732990278161,4082.883473681948,-4319.848163997972,-4323.134124360564
331495,-4707.209080679982,-4708.492201413615,-4705.650706638822,-4708.586094238155,-4703.7257458120475,-4707.1962469498885,-4702.359485824363,360.54473095896924,-4684.337653553508,-4688.717431642084,-4687.451892379144,-4696.015209569987,-4690.76463733622,4431.361611679403,-4685.153484253771,-4689.048250847526
