Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
567266,-457.4775939539986,-459.80618220192014,-458.15370994298587,-458.68879874690134,-456.84002348639575,-455.84532880735674,-461.0297492100927,-468.4702159721722,-470.2661545923982,-469.27320829819723,-467.4247090555477,-470.01112006589835,-471.9563210257475,590.7823146464877,-471.5594378747162,-472.59590110514375
567267,-1348.561535594577,-1353.5458854499254,-1351.024298638509,-1350.5831027790614,-1349.62106451917,-1347.4544069842461,-1356.8122563071774,-1362.811969898419,-1376.990960776284,-1375.1073425401378,-1366.319219890179,-1372.7203098813688,-1377.2463988088602,1059.9254594939134,-1376.037385666821,-1373.2158683741334
567268,-1983.365306618793,-1990.5711336580262,-1986.4270094465717,-1986.3331330873777,-1985.146759226644,-1982.8247410182103,-1994.9342420367636,-2000.837052316506,-2019.037612015031,-2017.2048532931424,-2003.923031461961,-2012.3739664982695,-2019.35890527318,1435.50928113392,-2017.4233003866145,-2011.9198393261893
567269,-2165.5396745277244,-2174.1706416934762,-2168.427056564723,-2169.501954221063,-2167.177314499825,-2165.4812176459036,-2178.4179188696517,-2185.2737553869247,-2198.151809354056,-2197.6295420198885,-2183.2412697503974,-2191.750426507362,-2199.617020742273,1589.2021301745121,-2198.067686492595,-2191.3280449580443
567270,-2075.6043554659636,-2084.924351212672,-2078.6624005009585,-2080.5647652399284,-2077.0265553885874,-2075.938147842841,-2088.3638173154604,-2096.257948861181,-2099.0394962691144,-2100.4691568727676,-2086.479620487782,-2094.257517083268,-2101.4719771094797,1572.821529583862,-2102.0619864957143,-2094.5032363337123
567271,-2140.4996831744147,-2150.128967333156,-2144.134586944267,-2146.7800179140645,-2142.0831353865783,-2141.3156375195854,-2152.6634753251474,-2161.1827060066316,-2154.3569035679693,-2157.422728014827,-2142.3731417082045,-2149.7449562560805,-2157.301401760286,1625.5795523113009,-2160.698912502854,-2151.559422110319
567272,-2436.2986050052514,-2445.8372650744654,-2440.2306768397007,-2444.193529402985,-2438.332397117965,-2437.7057559811947,-2447.750660177567,-2456.129261104,-2444.6585793544673,-2448.245083338656,-2430.4543468124994,-2438.1056423071923,-2447.8751545421874,1828.7470218639526,-2453.2714955024157,-2441.9862187821727
567273,-2641.04536252881,-2649.939523058048,-2645.0816283903087,-2649.9653120235753,-2643.6383103982553,-2643.141461416725,-2651.9860360285215,-2659.251773467743,-2648.879211848522,-2651.4001917798378,-2631.884360160996,-2640.433467925287,-2651.9181311982798,2001.12233530519,-2658.2450641594887,-2645.432807004063
567274,-2648.512892033036,-2656.655107917083,-2653.1992915926294,-2657.2437130040917,-2651.621503779267,-2651.6131568331302,-2659.7625877629525,-2665.635018404364,-2657.6882458394703,-2657.9960126912347,-2639.2186460794537,-2648.863159242791,-2660.174206842001,2043.10475424665,-2666.5859351029176,-2653.5268115684294
567275,-2733.3984946050414,-2741.1313047980047,-2739.1507926648374,-2741.1976808119825,-2736.6550616525,-2737.850982769295,-2745.518158149667,-2751.0209719308964,-2742.3510627840387,-2740.687671848323,-2723.498133869206,-2733.628202523905,-2744.700559570817,2106.60949331394,-2750.127735846205,-2737.7990605497203
567276,-2999.4459774944207,-3006.9162039824055,-3005.531475791953,-3006.384173481122,-3002.2880538172603,-3005.068514957474,-3011.756437642827,-3018.20881882718,-3006.498299592957,-3004.309923406526,-2987.87718387293,-2997.416865590777,-3009.5876192632904,2292.0258244093657,-3013.245677469564,-3001.9036234956807
567277,-3174.6927057738185,-3181.9055487745068,-3179.703230572046,-3181.104960732134,-3176.984299472471,-3180.4745555655613,-3186.0212691824295,-3193.5314475521936,-3180.9822475496117,-3179.7509382402723,-3163.495415899927,-3172.0680996073797,-3185.1267532975526,2454.3798681252256,-3187.492815737571,-3176.7712130986865
567278,-3136.7605036282366,-3144.060498775463,-3139.810942108401,-3142.860591547636,-3138.9050291621497,-3141.3426635703154,-3146.869333530837,-3154.5097916960603,-3145.561693727783,-3145.613105399553,-3129.3405733455675,-3137.8276495749087,-3150.375255854695,2481.7824421984074,-3152.4420130187036,-3141.8905829323903
567279,-3156.4882577895237,-3164.5482763623645,-3157.7757950678356,-3162.526108500087,-3158.6365780313545,-3159.203271012089,-3166.3536369599888,-3173.5689663282146,-3170.0882447577783,-3170.36858165106,-3153.359988906328,-3162.788197711826,-3175.4054273495144,2510.7007007354696,-3177.061538454004,-3166.9349466315707
567280,-3383.9378014944327,-3393.2482501797936,-3384.4141962979143,-3390.137003608645,-3385.56090463737,-3385.293866402137,-3394.7942397303873,-3401.8062227177056,-3401.8763958564828,-3400.955203222413,-3382.9610786887556,-3392.9587434114896,-3408.186593649493,2664.901337944579,-3408.364529734515,-3399.7052442592217
567281,-3551.9567240020683,-3562.227326101065,-3552.512858065651,-3558.103982164269,-3552.5148566581743,-3553.041905431345,-3564.115756063576,-3571.105983270112,-3572.170873163364,-3569.29574280054,-3551.7248437327944,-3560.600412415616,-3579.731633120094,2813.029393721471,-3577.9837096200217,-3571.4591828789553
567282,-3476.3878129922273,-3486.4507771595877,-3477.393878858233,-3481.8971643631644,-3476.103428686457,-3477.8117904918054,-3488.9426751640485,-3495.8668943098637,-3498.008325443403,-3493.3520872755594,-3477.446494417057,-3483.8667929481176,-3506.1328295127605,2811.9566627785507,-3503.2424767922266,-3498.0537534123787
567283,-3418.1238916622738,-3426.6574235276953,-3419.698236279212,-3422.633167230391,-3417.8220856606404,-3419.664836662781,-3429.8524071026127,-3437.2463384170223,-3442.751486398053,-3437.265995026581,-3421.9079604353838,-3426.1708646193874,-3450.6823380634223,2782.5243311167587,-3447.6212059657264,-3442.156978576619
567284,-3607.9968628407823,-3614.5912971149105,-3610.2250576629767,-3611.711067949335,-3608.2997184483943,-3609.390119385996,-3618.359465897274,-3627.262673107827,-3637.4022644348033,-3632.4765683290234,-3615.7024709419097,-3619.323195966726,-3645.3233395341554,2890.504590045868,-3642.2527968604663,-3635.897837514596
567285,-3808.718148574046,-3814.2572934361488,-3811.450537004311,-3812.1669082922886,-3809.7225547154803,-3810.2235523385693,-3817.952347881172,-3828.623551380072,-3842.4115696519466,-3839.0261584546224,-3820.8195750139757,-3825.288374042075,-3850.6809533414394,3035.163372943166,-3847.4441416724458,-3841.101644610727
567286,-3744.790131563551,-3750.8180912671764,-3747.7831870111545,-3748.517820790922,-3746.5226348046076,-3746.9121634459684,-3753.5820469846253,-3765.0754834953063,-3780.461984391381,-3778.462852936767,-3759.867034422702,-3766.115567031087,-3788.435740348493,3032.9200921772235,-3785.1314818565857,-3779.7967806481597
567287,-3616.256524818725,-3624.101839613313,-3619.6933128659216,-3620.8232381084854,-3619.0587036304005,-3619.736003736933,-3625.5322214701096,-3636.743147853765,-3651.3874657095257,-3649.904543450603,-3629.8615215190293,-3638.3773792504458,-3658.083577048023,2961.6237038994195,-3654.19296033258,-3649.793572474121
567288,-3736.9958556932984,-3746.937120581197,-3741.2563269503953,-3742.840164918136,-3741.3047519691127,-3742.6963019648533,-3747.4534463495743,-3757.986512895134,-3769.637832592389,-3768.197395108432,-3744.0444589394206,-3754.5396096712843,-3774.9969264946435,3022.347896491234,-3769.236708540094,-3765.09571158572
567289,-3959.500429650768,-3970.070398290155,-3964.2000169806397,-3966.3464143305064,-3965.283228078403,-3967.2689372398477,-3970.906526128446,-3980.78527737852,-3987.891484957345,-3986.9850614368593,-3958.490536322892,-3969.474938303856,-3992.497200034395,3170.0002383829083,-3984.8954854222234,-3980.504611423962
567290,-3951.2187003373624,-3959.931973613625,-3955.167139203367,-3957.884514483153,-3957.6507338299143,-3959.450066274405,-3962.509444508054,-3971.543994054027,-3973.573949018217,-3974.046733402344,-3944.3503518761113,-3953.7448672427004,-3977.765698403961,3199.2615301967703,-3970.4679565052675,-3965.4060655675266
567291,-3810.0471868166296,-3815.6104697791975,-3812.585399898378,-3815.5077994650806,-3815.842719141577,-3817.2820153533485,-3820.4919180259017,-3828.481135683134,-3824.7718701962835,-3826.6778961676496,-3798.441676287609,-3804.964400330618,-3828.8235729919757,3126.5024352620644,-3823.592258923898,-3817.3316531782466
567292,-3881.1698592435964,-3884.600513588964,-3882.8394990767843,-3885.648112552693,-3885.2523139341374,-3887.340485672236,-3891.0991126909644,-3898.378221404886,-3887.4847690439847,-3889.822922296686,-3862.858505909273,-3866.8272957006516,-3892.149300098029,3159.0320011584427,-3888.3689511637476,-3880.7336545056496
567293,-4120.981580527336,-4124.3730389365355,-4122.443780006171,-4125.418122805715,-4122.917221074784,-4126.4875314200635,-4131.193870380503,-4138.152622197491,-4120.522992567041,-4121.851870518145,-4095.629940416754,-4098.434404849965,-4126.393266821209,3311.3844527602823,-4122.418541738957,-4113.93460275554
567294,-4185.0054926422745,-4189.806368925232,-4186.16130087815,-4189.913502849996,-4185.233740844691,-4189.788447250465,-4195.937552465575,-4202.289301639499,-4181.36465905646,-4180.6322736023385,-4156.334273235926,-4159.352469022259,-4188.106093406317,3380.3538373890706,-4183.2511571730665,-4174.896288282939
567295,-4064.7436793195325,-4071.1954167850813,-4065.2760593594503,-4070.0684932041013,-4064.5775828774595,-4068.8173121005716,-4076.4764165025126,-4081.889380088008,-4060.1943437459695,-4057.7020320787556,-4035.7166795902494,-4039.7273462222984,-4067.3603852392716,3321.7882192624575,-4061.531841250186,-4054.5049481864357
567296,-4089.123527516782,-4096.703935799653,-4089.1276006605167,-4094.608676619101,-4089.954299177861,-4092.8820184664614,-4101.866997192365,-4106.860508839125,-4083.357525366169,-4080.6974091291136,-4058.7493921261344,-4063.7760566236384,-4091.0864471711234,3327.7060593060323,-4083.747896492266,-4079.0323673202565
567297,-4304.210611672684,-4312.38014758705,-4303.995809547796,-4309.518276731087,-4306.343308882986,-4307.876562392468,-4318.214314426656,-4323.6082687289945,-4296.695353070036,-4295.148687486251,-4271.432295608932,-4276.802515517285,-4304.8128392993285,3466.203796619605,-4295.936058052333,-4293.341512178716
567298,-4396.14781676022,-4404.688810181167,-4395.752815634007,-4401.066511966968,-4398.73969977528,-4399.61829173367,-4411.012706247417,-4417.079970614935,-4388.82592936539,-4388.524323111955,-4364.278833358476,-4369.203553027988,-4396.47190842238,3560.194322464361,-4387.644381004973,-4385.615520384678
567299,-4287.455385428768,-4296.247244822687,-4286.5281103883535,-4292.140722907763,-4289.68554646106,-4290.731440454563,-4302.172037394119,-4308.998687739873,-4284.283085507646,-4285.115199082641,-4261.7818747553065,-4266.1478381555,-4291.223669938465,3523.502966434408,-4284.032219349665,-4280.965736416987
567300,-4277.2144692957845,-4286.229491006117,-4275.6332983379325,-4282.069488808419,-4279.275727858178,-4280.691822410533,-4291.269235532335,-4299.191757950247,-4280.299637245476,-4282.40468464666,-4258.580336774168,-4263.024502622124,-4287.634845306098,3516.938388619238,-4281.529503101023,-4277.139525530276
567301,-4469.420385585667,-4478.964556422496,-4468.056299109704,-4474.87635273411,-4472.261492367143,-4473.704140495787,-4483.246743217849,-4492.2556453292,-4476.407803289187,-4479.642337219579,-4453.166495773452,-4458.314444694964,-4485.413080901169,3637.1437614865463,-4478.602544820937,-4473.668245302259
567302,-4577.3371562131615,-4587.43031565409,-4577.302133491588,-4583.467090829412,-4581.443493165663,-4582.326324314768,-4591.1956670342115,-4600.390693375993,-4583.584575033198,-4587.591488780381,-4558.908764166847,-4564.616420934734,-4594.477868868396,3732.4120692424635,-4586.323079773347,-4581.330817553433
