Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
55706,-151.6170831991344,-153.31829407138565,-157.5855875789453,-154.84895307422022,-156.1662071660178,-152.80783278708685,-210.25468170560023,-12704.525549597915,-4664.069872306635,-162.93192216334805,-158.06197499217427,-158.17025144703797,-157.15225126257474,-69.32288133937685,-158.42840635780846,-158.66881954328971
55707,-52.634889596849085,-52.843418552416516,-58.762652986539145,-53.63770244165356,-57.22764340516707,-51.48586476948723,-130.72756691791787,-10641.191198643883,-17801.379277287222,-69.6574067552902,-57.752250152804315,-54.179646308009666,-53.98670167773048,-242.26820866028643,-53.605253973392536,-60.14282488678666
55708,-166.52958377366264,-165.94072655363573,-173.54604587315745,-166.25230626157241,-171.68272399875704,-164.12529546881117,-251.58310665942344,-10503.783424654717,-23313.607661401256,-187.50206499895225,-174.57156355293267,-167.87097547519792,-167.9893892009968,-212.98147666101477,-167.54075875207735,-177.29134574612374
55709,-286.8969814056929,-287.00191513005353,-295.6352527747061,-287.2266465937214,-293.0887306987647,-285.05965661434414,-370.6099817166322,-11139.003575264902,-21580.81310431045,-310.90309422565053,-301.7033424983824,-292.5246463418425,-293.0426284822213,-121.69734055097545,-293.5258430401997,-303.35565368358476
55710,-178.40077946565202,-180.8964407987235,-189.20400230458773,-181.2359806025636,-185.51910365270285,-178.43830489661022,-264.6431528940793,-10542.52392418058,-19362.129599379845,-205.92578582004677,-198.70123256644914,-188.33071120955097,-189.50154419665859,-177.19892266978619,-189.96269509540605,-199.2951784054298
55711,-30.58440914046404,-36.117927436022086,-42.66267373508222,-36.30606179711752,-38.07614620019342,-32.30371416695029,-122.6348643890134,-9366.476233933416,-20118.90109891884,-60.01295534042765,-50.543245138381366,-41.29092126620508,-42.31682795389454,-280.27979901503755,-41.17003709179619,-51.25229277602911
55712,-114.6719398557786,-122.30446041271853,-126.09662934753106,-121.65639416397971,-122.14801750590121,-116.97508248398245,-207.18851690399808,-9459.061026584804,-20546.9147289372,-139.99520652088387,-128.30130859884025,-122.17170910516109,-121.49933863722487,-227.10829892272574,-118.54647353928623,-130.24235918446684
55713,-278.56137411075287,-286.40217569015965,-287.7825310226766,-284.38761714778474,-285.8790394270479,-280.4574391633204,-367.8148240511114,-10321.337532327707,-18358.77806120392,-294.0670673888044,-282.91052898908305,-280.04931392018887,-276.86639571885144,-103.78180181155197,-273.2585690338782,-286.4382250020324
55714,-227.29181231638202,-233.68776224326763,-234.49287734975567,-230.4311341323912,-234.27353888868447,-228.125000161009,-318.2624555430633,-10081.140002900387,-16961.671175914686,-234.17381523294472,-223.23165159301846,-222.15478341432785,-217.27453905028392,-131.24793812503378,-213.93443062182374,-227.9582777620959
55715,-70.2529295448411,-74.67271143411084,-76.48697512572758,-70.77743027233552,-76.72550583613565,-69.78787729276362,-166.54379928041357,-9043.270687199094,-18729.309582037688,-74.48141288694745,-61.71387048757497,-60.53830551418447,-55.550265698727685,-249.96308401099492,-52.49234420523445,-66.6074947058614
55716,-114.13806492720498,-117.0844295091461,-120.11079157453659,-113.55290556041194,-120.26701709840994,-112.8169512264844,-210.12114783415376,-9017.150192466393,-20046.425769958325,-118.93432017687164,-106.2179918461717,-103.38404711408242,-98.98979876542464,-225.58837587646082,-96.21303968687867,-109.94749376946665
