Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
691711,-31855.441854614863,-31864.95230319759,-31856.379946768888,-31874.708253765973,-31868.90964531471,-31872.672995480778,-32161.27584366902,-20297.398309774984,-31848.939482383677,-31875.3516840616,-31840.380357951573,-31866.077393891304,-31876.718996710024,774.6193849058678,-31866.054006123588,-31859.403543035445
691712,-32341.44236278687,-32347.74481813992,-32342.757312787602,-32358.34239693602,-32351.681869099022,-32355.66066691856,-32647.416693905005,-20342.742743705043,-32370.828104115404,-32396.7290402413,-32358.128148436153,-32387.717373618125,-32394.398231964813,973.7327712695468,-32387.845593407656,-32379.365438868776
691713,-32600.903855222998,-32605.478656458545,-32602.310311079233,-32616.58276640807,-32609.362068839197,-32613.306060955107,-32907.81801322104,-20599.36710287586,-32650.217799615846,-32675.22088588021,-32635.00443881655,-32666.67224024387,-32670.41679963887,963.1056408925804,-32667.132932126,-32656.55632175143
691714,-32756.345045530357,-32761.124685975847,-32757.565905563268,-32772.65384640868,-32764.800411877477,-32768.44781860674,-33065.788112446884,-21010.92755186485,-32804.26335665068,-32828.12352041504,-32788.24805517624,-32820.02666405264,-32822.36915984521,837.8318211934354,-32820.968814663334,-32808.380077560905
691715,-33047.80180680187,-33054.16801776209,-33048.94449322054,-33066.30488119055,-33057.60134860676,-33061.12790624962,-33361.84255358983,-21380.04722857973,-33086.0899933045,-33108.88430602919,-33069.98204435508,-33100.89911394441,-33103.31230712574,803.3144675402295,-33102.34944237882,-33088.45997584773
691716,-33419.33854860307,-33427.660617258225,-33420.90451599774,-33440.368540317606,-33431.1360838838,-33435.28571509982,-33739.07327944116,-21677.823262211707,-33455.68552356202,-33477.68022150445,-33439.42008910574,-33469.5723789855,-33473.01549782001,831.8112957714263,-33471.24624221702,-33457.15462662962
691717,-33664.45987546341,-33674.21929955333,-33666.86758674802,-33687.03678038796,-33678.24002990904,-33683.24262069441,-33988.80896750344,-22033.706514251262,-33705.16630243519,-33726.73233380023,-33688.71564265687,-33718.68736545207,-33723.42477011497,759.5745824888818,-33719.910316229616,-33706.68055877585
691718,-33827.951586945084,-33838.40788438941,-33831.27846818165,-33850.73559250839,-33843.38624350343,-33848.04669721162,-34154.7464203645,-22455.321299359024,-33867.87761995881,-33889.34001831878,-33851.59630763208,-33881.60682387551,-33887.415744670885,619.221822072039,-33881.795305447464,-33870.15703712722
691719,-34112.82301502407,-34123.53457342101,-34116.86472374738,-34134.914172271136,-34129.492510098775,-34132.08097717706,-34440.79121816793,-22804.201391962553,-34146.45085989676,-34167.90113125751,-34130.84306860019,-34160.49534275917,-34166.84283834743,583.5779432626445,-34159.571396680054,-34149.70131446171
691720,-34488.18589042875,-34498.89375769325,-34492.23996490211,-34509.15254647318,-34505.36026849231,-34505.23137945079,-34817.13683196317,-23067.196971448764,-34518.01424634919,-34539.70854018377,-34503.58305210946,-34532.56098416708,-34538.74154205766,631.9468915668765,-34530.86829171074,-34521.77341620351
691721,-34748.97884439955,-34759.46389221953,-34751.968985585314,-34768.976148351736,-34765.65415562925,-34763.72334483618,-35079.02361841642,-23398.87502363689,-34776.31896547335,-34799.10008708434,-34763.44550651687,-34792.11334167691,-34797.6431645805,576.1319282451262,-34790.206763403985,-34779.76988493321
691722,-34909.57419610153,-34919.81545416849,-34911.13622148444,-34929.42951055383,-34925.162952091625,-34922.965490507435,-35241.26764562963,-23837.236800920375,-34928.91092540354,-34953.56620211802,-34917.51745797112,-34946.679523523446,-34951.5343400747,409.94068743438015,-34944.893576285365,-34931.69878149557
691723,-35178.81329767303,-35188.861354155786,-35179.75095582516,-35199.09973577437,-35193.51644870959,-35191.92844266852,-35513.07801994255,-24223.515581260537,-35189.072832846876,-35215.42226224703,-35178.66330860459,-35208.928249414836,-35213.23694113987,329.427285272109,-35207.00258644951,-35191.72373557221
691724,-35563.86406577243,-35573.36242687787,-35564.97370736867,-35583.910196060635,-35577.95092009389,-35576.94409660774,-35900.798940578854,-24490.406586253874,-35574.259456237516,-35601.39103318574,-35564.19441739326,-35595.678238615175,-35599.39020611145,376.9136298979008,-35593.185624175436,-35577.4443762462
691725,-35859.61011263124,-35867.80993751891,-35860.7908211434,-35878.16651919113,-35872.75927352389,-35872.23578410722,-36198.50665383521,-24790.52975996102,-35875.5822278392,-35902.850504662434,-35865.01087110312,-35897.486114279134,-35900.59936575828,365.86085112018463,-35894.510660057655,-35879.00682010714
691726,-36047.121069944296,-36053.72529553126,-36048.08948351066,-36063.9582841882,-36059.114954227414,-36059.396190324915,-36388.42660396842,-25221.17832804029,-36060.593879389795,-36088.11595476158,-36048.82417988594,-36081.79693035563,-36084.852778388115,226.6158361429811,-36078.95053569463,-36063.17650957429
691727,-36337.25703063034,-36342.86879894078,-36338.16080359218,-36353.40423793147,-36348.67499880811,-36350.18724051164,-36682.87835107716,-25648.56335415705,-36340.6319757138,-36368.98976411831,-36328.03024315371,-36360.823462218876,-36364.78842198393,132.50869167315093,-36358.76666748128,-36341.98643585456
691728,-36759.3650169166,-36764.695254844206,-36760.053391477595,-36775.793765723254,-36770.71509252244,-36773.589008928524,-37109.8429655921,-25955.69435318326,-36760.02245451578,-36789.62039504699,-36747.93494532454,-36780.14162538701,-36785.585694182744,174.81250410102535,-36779.11045884456,-36761.20409596553
691729,-37070.16208730565,-37075.41109815951,-37069.86370116298,-37087.04724212703,-37081.06037455133,-37084.89667798464,-37423.16456091023,-26256.833209406155,-37079.02204466424,-37109.62584711269,-37068.581140047216,-37100.28264329729,-37106.881343640816,192.26935436081857,-37100.030599596845,-37081.49885560221
691730,-37173.956137353656,-37179.26753100682,-37172.3132809662,-37191.311510700616,-37183.81333335089,-37187.84355653956,-37527.00903481818,-26684.383408664326,-37187.193208271674,-37218.09720920028,-37178.43817244943,-37209.94929019743,-37216.75351015535,69.66930947241775,-37210.26234729364,-37191.44656607571
691731,-37277.308114458865,-37282.993285046105,-37274.89489348196,-37295.53773948873,-37286.17980994166,-37289.87594777299,-37630.571647893914,-27144.296603175117,-37284.34239688491,-37314.95917972871,-37276.245589302,-37307.98917630326,-37314.091784441654,-51.90162953878007,-37309.11326985437,-37289.67585726142
691732,-37483.47570419035,-37489.65286579082,-37481.12323135123,-37502.9619462227,-37492.10671641217,-37495.478502176,-37838.3929390172,-27489.685439582052,-37487.62655711731,-37517.67803050715,-37478.75933966231,-37511.21599825309,-37516.39565524256,-40.67492024489871,-37513.35667929005,-37493.12162740495
691733,-37583.39503597509,-37590.11218982003,-37581.641369176126,-37603.837968850974,-37592.82145749075,-37596.06535297008,-37939.895473408375,-27786.961398998847,-37598.26053473684,-37627.39569920952,-37587.717583364225,-37621.061995962715,-37625.893292091285,-15.621180465735048,-37623.73235266078,-37603.726184545856
691734,-37444.449657290555,-37452.118748531415,-37443.46663147898,-37464.88476317913,-37455.30143733503,-37458.453544057775,-37801.00782763606,-28185.82635075454,-37473.54927545658,-37501.266520668534,-37461.297295926604,-37495.08736485032,-37500.510903660164,-116.2035896447512,-37497.66882915976,-37479.535412454155
691735,-37276.28383907556,-37285.475128373466,-37275.86699317116,-37295.93087904231,-37288.26318565072,-37291.356801774295,-37631.89382564046,-28643.866317382584,-37312.414725754774,-37338.5531540013,-37298.75692215902,-37332.392594577366,-37338.97257770244,-240.3531701144951,-37334.71445851605,-37319.503428312375
691736,-37253.76292800935,-37264.50338308428,-37253.49061252622,-37272.82183393372,-37265.93587541439,-37269.23615409848,-37608.0585023553,-29014.211549773412,-37296.13285075019,-37321.12945563781,-37281.34136672584,-37314.73611343176,-37322.06232423699,-243.32808763350087,-37316.452443040886,-37304.3901154621
691737,-37162.33064202829,-37173.81927011005,-37161.9840715162,-37181.56358199743,-37173.966297109786,-37177.58128568863,-37513.83279271388,-29317.816712180324,-37218.28978959589,-37243.03074958523,-37203.007195666396,-37236.15193443141,-37243.29013950908,-216.48657273241272,-37236.799984732934,-37227.272104396965
691738,-36724.76588258344,-36735.932713064234,-36724.62468563917,-36744.37514624984,-36735.977713719396,-36739.268869289794,-37070.790053287994,-29688.199484976438,-36794.25992631099,-36819.79403397944,-36779.82563274879,-36812.006041514614,-36818.30511549067,-317.370989440846,-36812.063227146515,-36803.342013021305
691739,-36054.68820388352,-36065.03263953603,-36055.29867604819,-36074.2239383892,-36066.22361109729,-36068.25269365209,-36393.48955969233,-30104.548989476098,-36127.03918817654,-36153.96570766815,-36114.984878384406,-36145.3862604467,-36150.395760149346,-472.358660176142,-36145.74988282446,-36135.70370414252
691740,-35469.897727462085,-35479.531476678516,-35471.41287909275,-35489.10838382897,-35482.13703538057,-35482.78626095092,-35801.56348042764,-30424.769515927404,-35537.96730201763,-35565.85315839911,-35528.90685706034,-35557.912528914836,-35561.24145618107,-513.7501647924455,-35558.230440165775,-35545.92262294736
691741,-35046.18193158317,-35055.17287280209,-35048.06475461606,-35065.242694467044,-35058.62859733159,-35058.7056148987,-35370.960487506214,-30656.13541544516,-35112.35946784915,-35140.01152773877,-35105.259364522644,-35134.43926883775,-35136.26504995874,-495.1994651268538,-35133.238456745836,-35119.54253014014
691742,-34640.29183813084,-34648.61364422519,-34641.8906548479,-34659.28951784376,-34652.29976727092,-34652.625435021575,-34957.18909651086,-30946.351068926364,-34708.472123003594,-34734.830362570385,-34701.29965326854,-34731.97940538566,-34733.27456904666,-592.216616494886,-34728.22281449137,-34714.98129393034
691743,-34055.50251706578,-34063.33493293592,-34056.51587833351,-34074.11743792119,-34066.92715315818,-34067.72278826928,-34361.85921280715,-31302.281243303754,-34134.47742648001,-34159.22119882448,-34125.80761980136,-34157.9457135312,-34159.684603091264,-772.292089766682,-34151.611740197564,-34140.541697392284
691744,-32682.09394780862,-32689.18160571735,-32682.0753699244,-32699.34058371116,-32692.63655977737,-32693.482891279462,-32970.819009849714,-31559.110542366052,-32804.01351076926,-32827.33676779024,-32794.01709260652,-32826.139529622276,-32828.30898768101,-855.6974582586737,-32818.135085487185,-32809.93903406184
691745,-29216.709255813053,-29221.656715687972,-29214.945881239284,-29230.558377927362,-29225.14395749085,-29225.066050694368,-29471.681242312938,-31651.18491821495,-29429.39945008096,-29450.723596430267,-29419.464709461157,-29449.025566645658,-29450.733857777355,-858.9290947450475,-29441.248838485422,-29435.14523011619
691746,-22575.21789009184,-22576.284050603772,-22571.807632121054,-22583.04486925131,-22580.01014429747,-22577.918974382417,-22771.86824641736,-31668.867613648672,-22893.744149927654,-22910.71536743499,-22885.396558989134,-22909.653892010967,-22909.779931907855,-978.1179231040408,-22904.005990466172,-22898.43163975038
691747,-13226.29964598188,-13222.836027202458,-13222.327387062514,-13226.211028641035,-13226.599141976101,-13222.251849478667,-13340.317783252169,-31601.350663077978,-13607.207481479594,-13616.908403132275,-13601.295104626697,-13618.539551964794,-13615.893997735993,-1238.017811124495,-13615.368334566807,-13609.372082388767
691748,-2972.544489090271,-2965.3284325927157,-2968.6200061703935,-2964.4009421577352,-2968.3985489754086,-2962.6429745105643,-2989.2112126575507,-31273.83461752932,-3354.628901346114,-3355.6009640378315,-3351.079814756714,-3360.888456384078,-3354.4296999253684,-1459.2008218443148,-3358.986292847245,-3352.915833155829
