Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
312733,1005.4857460805138,1003.9433985415219,1005.0315770588139,1007.4854460165103,1005.0231470705073,1005.3473580561315,1005.4253889181847,-647.3592574207053,1015.1290418107122,1015.2408279774392,1014.3137569294536,1015.2488133143585,1014.7325640415639,225.7780362663982,1017.530968770632,1016.0381149568424
312734,2356.5518204415125,2355.260256679955,2355.044443442896,2357.525385884708,2354.5738885492005,2355.120368670925,2357.4152450342795,-1281.1711583859137,2377.91039574016,2377.2892446694805,2374.5888341723153,2375.316227265196,2374.961335031383,-816.9826067172265,2376.344592364345,2375.755504557223
312735,3415.246656844846,3413.9616473774117,3413.1399437508653,3414.8782817128113,3412.716904860806,3412.903666125242,3416.7186710896463,-1718.475315291675,3441.828225729216,3441.9599572908724,3436.605711170014,3437.342957301341,3436.9341281127813,-1739.372018461975,3438.4552664923954,3437.823334450779
312736,3563.3376622083833,3561.261156769374,3561.177123558735,3561.3720941395013,3561.354489749081,3560.425239732698,3564.968793226695,-1768.401524847164,3586.111972670492,3587.6536962324435,3580.2106690298942,3580.820010153864,3579.8366877058343,-1945.7368009563095,3583.220198162211,3581.9276611919367
312737,2904.098547652712,2900.321901317403,2902.0331016392975,2900.7870524311916,2903.1015117554784,2901.159257150517,2905.525609766172,-1554.5614386080667,2916.7064484528205,2918.8642987375515,2911.2430581296803,2911.542573988144,2909.460219253597,-1391.7951893612285,2915.211713026295,2913.783316647602
312738,2490.4484859813238,2484.8924459062637,2488.2991647415793,2486.5546252510844,2490.016763260116,2488.4312174764673,2491.4191394082136,-1456.1180410003767,2491.9718939935133,2493.958739578667,2487.027127079523,2487.212002208985,2484.239930740517,-1005.0863146922209,2491.4212816718036,2491.01640086506
312739,2777.5429464477584,2771.094686723679,2775.3537436294027,2773.648277970261,2776.693492650945,2776.8391017762733,2778.0080656269843,-1571.398364708579,2770.9170201505904,2772.709901386763,2765.9617604250734,2766.087792296017,2763.006551055243,-1290.2626238806135,2770.2660831728044,2771.8164327935256
312740,2980.4296628486745,2974.201916375509,2978.6899250041547,2976.666265378004,2978.4017875652444,2980.2418172512916,2980.877796967678,-1619.3314357357854,2969.6146595057403,2971.287697447179,2964.875996190185,2964.370099647864,2961.3248646505267,-1553.6294269463624,2968.1333360100602,2971.884306654644
312741,2577.6553888615244,2572.4510545294565,2576.9437718036024,2574.462897018905,2574.635898064972,2577.1035520206706,2579.1615459245204,-1479.0305586345091,2567.107161402406,2568.419882876323,2563.4977725337203,2561.784009545663,2558.157562411053,-1228.2715999156844,2564.7640580411044,2570.2777239810976
312742,2229.107856759289,2225.3465729408763,2229.381576490141,2227.2854887048634,2225.901140445915,2228.306937853501,2232.4941830361413,-1391.2098677685442,2223.8531475028262,2224.7015213869117,2221.5870391525423,2219.0463620025585,2214.6256227597223,-886.7005411778619,2221.0522684846746,2227.6825728407193
312743,2476.6210204876143,2474.0886110872634,2476.786568725942,2476.258841587113,2473.6304471674753,2476.0428075481973,2481.3219779298793,-1480.1889393568151,2480.7704216042425,2481.4226963313895,2478.99155842821,2476.725951839304,2471.9462805943413,-1116.6117261820864,2478.1132747501974,2485.330370406477
