Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
665685,2324.627438623042,2325.1166929199435,2324.3249571073347,2325.630469427403,2324.8323171547027,2324.880201756106,2323.433920289178,2324.2050349985075,2298.4848563192536,2300.822616982734,2296.4455495171037,2299.680145088643,2299.3691196755717,-1095.4738547118732,2298.4008391001835,2298.7291096825184
665686,2443.7172195695925,2448.7987053951433,2445.2610108810377,2444.614404586573,2446.8364935948284,2445.4446983392,2442.463998689778,2447.6957396436237,2420.989461890288,2423.1604672390185,2419.5718489866326,2424.42934628087,2421.9024163636795,-1071.6570224918655,2420.650109847592,2419.838360079548
665687,2651.5943158937685,2659.2357816931176,2653.8409566711425,2652.5041310346155,2656.661603123259,2653.754196040596,2650.2192707880813,2658.2233811951546,2626.8924618477236,2628.845803109627,2626.1498225953546,2632.2279422783113,2627.793201297779,-1152.8812723057922,2626.9183577491085,2625.4027161850113
665688,2728.9369561616813,2736.5092225700246,2730.3891991663077,2729.611180198429,2734.734674531557,2730.2837020328025,2727.301363436077,2735.891182516789,2700.2837185071585,2702.1781796818664,2699.7867745705234,2706.599101067196,2701.146538899832,-1207.8877075926328,2700.9203493167306,2699.57337144281
665689,2541.823638577548,2547.986985703961,2541.673669402431,2541.803275269296,2547.4404906544814,2541.9255715630084,2539.855219996036,2547.569363607655,2514.827049104339,2517.130990034009,2513.7717688930793,2521.0362192517923,2515.417293854297,-1111.5332252652602,2515.53538641822,2515.1080054530626
665690,2357.4336367461,2362.4258748087977,2355.9871087110478,2356.472259492722,2362.3291783701743,2356.8928307936153,2355.28847793986,2361.566775005927,2338.1628791801763,2341.5686575605264,2336.3873912464815,2343.964271631781,2338.1480681400553,-997.6865476582575,2338.5342347567075,2338.8022440233035
665691,2410.810975812815,2415.1738711392622,2408.9564492243044,2408.8799679214035,2414.828888318456,2410.53071788302,2408.766142592049,2413.5450562866336,2398.4459833572637,2403.5850160743394,2396.9821899656945,2404.530490061507,2398.003977963932,-1027.565511368373,2398.9636509855854,2398.878545005362
665692,2499.6820841285376,2503.7477009048343,2498.113446576189,2496.8756829292074,2503.048819246138,2500.118346587316,2497.8144953074616,2501.63535407353,2487.9831239511373,2494.669789457349,2488.0716641140166,2495.03906631141,2487.7726242084973,-1095.1879059661546,2489.3601748983683,2488.2121401493837
665693,2371.1547600034787,2375.3568682015184,2370.0268309488183,2367.9084065604593,2374.119433578493,2372.109076273484,2369.270266981943,2373.1637658999725,2353.099330483079,2359.932590271878,2354.600054068096,2360.7745300225592,2353.6378607469746,-1024.23253378339,2355.2391225237848,2353.2140122535257
665694,2188.848652185544,2193.371446055523,2188.062526511459,2185.8993018416595,2191.4423431390123,2189.8403759853472,2186.802963380478,2191.183040967582,2158.9674809793173,2164.2202504334855,2160.053889513948,2165.9386759149156,2160.3997083541103,-895.4326745422342,2161.006937719151,2158.7396293477996
665695,2219.0058321641836,2223.4041407861178,2218.780607792738,2216.5943082049134,2221.391767452579,2219.801191279873,2216.8209302016394,2221.12900422653,2175.2488860638523,2178.197999563191,2174.036390917953,2180.4748542920015,2177.2132679435517,-896.465623515503,2176.4999466338477,2174.4718918686785
665696,2330.619327638718,2334.3610441751334,2331.5002929895472,2328.0716617696153,2333.327912853046,2331.247158990439,2328.1589753864127,2332.005947901291,2275.7882559055024,2277.0639223028656,2272.2063810625814,2279.651016037177,2277.296307951047,-974.5807863577902,2276.243046337073,2274.434075816561
665697,2243.558579233374,2246.5204239107957,2245.5851541197326,2240.0990856734174,2246.9106562861425,2243.8713327498203,2240.378282425639,2244.1702313771475,2183.097018446033,2183.894915490485,2178.800079287573,2187.061074180455,2183.2339537876755,-938.6362760463852,2183.0479995733913,2181.0957199381037
665698,2052.9554279668255,2055.335572521528,2055.286014782518,2048.643486133393,2056.5074973655846,2052.6876704844562,2048.7976522466397,2053.0938650342086,1990.8896364056989,1992.130483502054,1987.4864554260423,1996.1477790541549,1989.9380878296556,-817.5017913663526,1990.5103693739245,1988.4313482478133
665699,2045.188948510812,2047.445620239925,2047.077211265962,2040.9306036643056,2048.2502740767563,2044.6435581968774,2040.5814148308457,2045.528573572829,1982.9941594224913,1985.157224018298,1980.9989269803534,1989.6219769775907,1982.5376701718817,-804.1215255238291,1982.3726182874218,1980.8814910417298
665700,2156.637524712585,2159.3133131493255,2158.2410718079436,2153.3622776274187,2159.1162099937724,2156.6689013391765,2152.56915390146,2158.0325355992645,2094.8130249640744,2097.7365642263885,2094.039001900156,2101.7790005551115,2096.210162337134,-891.7799796946284,2094.010165528399,2093.7878313066503
665701,2094.4332399900145,2097.8731190318385,2096.3915662347563,2092.4355764185243,2097.008338556432,2095.568939701637,2091.5150149334368,2097.395184598319,2034.1515084537784,2036.7230590541137,2034.000223114901,2039.7587078831987,2036.7888384232674,-885.1487194611329,2033.0631309633127,2033.9430183355282
665702,1889.1858198685013,1893.7226580351023,1891.9234772366312,1888.487226812574,1892.9400701580023,1891.3189063461057,1887.632674240188,1893.8823972777084,1832.7318305784224,1833.732424461024,1832.1252777623422,1835.6554587023113,1834.4752045818645,-764.450772421249,1831.1895089627014,1832.226636015665
665703,1838.1695224690461,1844.1988872985567,1841.3763767996718,1838.995953697396,1843.7887343192713,1840.9541450989814,1838.1154076226737,1844.5414508995027,1787.556167529793,1786.99313950781,1785.520722787783,1787.870518110122,1787.0896831085688,-719.6343519811313,1785.6042684137274,1785.6831102526523
665704,1944.8678940231007,1952.1554293729364,1947.4347649903825,1947.1343935844375,1951.8302201280462,1947.855736096072,1945.9012504362427,1952.1826079388854,1900.2604161489276,1899.1197941170062,1896.7361306201667,1899.1015517592475,1898.2100948066923,-792.5080583772907,1897.980321419977,1896.3935007479454
665705,1910.0961581283987,1917.3886620647713,1911.0850599256396,1912.7624445429585,1916.8867216554156,1912.7145116364113,1910.9518179822649,1916.9507090964394,1870.152891119616,1869.1411344806227,1865.9211761445608,1868.6717132020299,1868.055629549619,-800.0712257882212,1867.4803925723522,1864.4503568012565
665706,1696.4028703260506,1702.240747757502,1695.92873147102,1698.0378470006858,1701.5886454173997,1698.2775708864958,1695.7769789497024,1701.7043319316235,1659.737371084477,1658.8488858383112,1655.5590456805073,1658.7260660063807,1658.676781779594,-682.6188152384709,1656.9076476380556,1653.6958092194743
665707,1605.4715163452252,1609.0710275224444,1604.2475761182034,1605.4619948992818,1608.407519478016,1606.5990526400901,1602.9249119355875,1609.0501093377895,1572.2439057183874,1571.0297506239426,1568.3443449091214,1572.0066226247836,1572.3057221482227,-621.2479401893602,1569.9205852019204,1567.798125532676
665708,1715.222747970311,1716.5838179653126,1713.813007635329,1714.1159709073265,1716.2269796548171,1715.5789226504573,1711.2623677964937,1717.3804332918482,1687.6460135231093,1685.6154360249304,1684.2462714849144,1687.9130294156073,1688.1437175093217,-700.5405601809073,1686.3103433097533,1685.1924087936618
665709,1729.5463554847333,1729.4205318356435,1728.2847988530903,1728.309289052552,1729.7719143934783,1728.8194438322084,1725.135033055788,1730.4565676565858,1709.5206353526803,1706.7706099773463,1707.4675897394213,1710.1130230522024,1709.6856080287216,-747.4789204025199,1709.2984358782182,1707.9431989921695
665710,1529.0815789327307,1528.7428107558733,1527.9008979480702,1528.2829004484688,1529.5500485014463,1526.9743213766376,1525.0510471080331,1528.863083227706,1515.6315201500192,1512.865347898873,1515.6144183339948,1516.889661598789,1515.1862121132701,-651.5556452058905,1516.4631003210222,1514.0226096160525
665711,1395.8547829507997,1396.3994946925113,1394.1222878623234,1395.6938462648905,1396.4501886601968,1392.612452477812,1392.8447953250002,1395.1395790815745,1386.0825609423223,1383.5998181764626,1387.1689408939455,1387.9153889032063,1385.1294510246837,-568.9428213000652,1387.2762873311065,1384.252097225859
665712,1488.866457391357,1490.8652280022766,1486.3463551209388,1489.7132321228485,1488.994202673538,1485.6121157126354,1487.7984192305908,1489.0056717045068,1480.7044128110906,1478.1748433641521,1480.9142329864976,1482.0826655723595,1479.3440112307064,-628.9477416592667,1481.004198215856,1478.808532068976
