Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
775240,-1045.8632611150204,-1041.7080770603898,-1043.8829243374507,-1045.1265717456313,-1042.582742634355,-1045.4601999700403,-1043.5562023436091,-1045.3641359347098,-1029.6458376245978,-1031.6831404809495,-1029.4691345561291,-1028.6559226543918,-1028.8243454023352,-349.810152061886,-1029.2201389447432,-1029.5036896886133
775241,-1848.4182114114792,-1844.3741571931182,-1846.5741168689037,-1846.114649141062,-1844.2508376127844,-1849.0459952086435,-1846.1419626494658,-1849.8353097198712,-1835.5389166761422,-1837.5396533216422,-1834.3318137698739,-1835.2503477523626,-1835.082642977957,174.3505515059795,-1834.4700225804681,-1838.170237514055
775242,-2342.7248333090984,-2337.663509039136,-2340.0062707885636,-2339.5303373028523,-2337.67642019399,-2343.6227172695226,-2340.129814727562,-2345.315665067437,-2331.1732931584393,-2332.945623255817,-2329.7805432872883,-2332.0788721822128,-2331.6033756870097,526.9347283547104,-2330.597135910767,-2335.678225447534
775243,-2334.120279769048,-2327.0523026851097,-2329.5231957699853,-2330.67940956067,-2328.528106738607,-2334.269209177415,-2331.0806865682553,-2336.702784281585,-2323.188769376678,-2324.881734393681,-2322.5984456575634,-2325.2647663908556,-2324.987767885858,553.5900221298605,-2324.531948279676,-2328.7385807724077
775244,-2044.4230075713979,-2035.4795819376795,-2037.8769522751422,-2040.911157719839,-2038.98947430702,-2043.234578930909,-2041.0833169722775,-2046.333310413769,-2036.4528868252262,-2038.543197589541,-2036.8163671616799,-2038.9813489131973,-2039.3302937210638,365.11847146865625,-2040.0441258651333,-2042.3295306413534
775245,-1919.1510091059565,-1909.5174350010827,-1911.5977615637808,-1915.4474805389734,-1914.5564577574257,-1916.7118209233975,-1915.5358301771553,-1920.7970712909755,-1917.4244600639272,-1920.0258109765439,-1918.0510959299127,-1919.5696435705022,-1920.3591326462138,274.7263547215347,-1921.8186730724851,-1922.8300243776634
775246,-2018.2369920204335,-2009.1032706046087,-2011.1687315020135,-2014.2094957400382,-2014.7421209098384,-2014.953266873136,-2014.1457643998779,-2020.043122117541,-2024.2846930907504,-2026.7093414950098,-2024.5558398314747,-2025.3521655831034,-2026.0388803450771,358.60563998923567,-2027.2193610543256,-2028.6633280526514
775247,-2019.3609801762923,-2010.7585544351036,-2013.877392406115,-2014.6428351655202,-2016.4467903855716,-2015.3424343879562,-2014.4891334666975,-2020.5668441418354,-2032.038751756875,-2033.2580108229245,-2031.9205950025907,-2031.548555842239,-2031.6748470784867,388.0513757243905,-2032.056820090013,-2035.3351994838526
775248,-1846.0240427243052,-1836.988615010792,-1841.8203002894363,-1839.841337164221,-1842.2867912580525,-1840.9638258834775,-1840.0588351582544,-1845.562933144614,-1861.600689173798,-1861.1392262998934,-1861.3238385882255,-1859.4553152166607,-1859.060102612082,272.52798560124575,-1858.6743352726398,-1864.2622319376883
775249,-1783.0395825983935,-1772.7453336621704,-1778.7632273922218,-1774.8314857117498,-1777.123464089334,-1776.9462710497012,-1776.1057084034155,-1781.2245454768722,-1795.8445111420178,-1794.1153851409845,-1795.3272752774817,-1792.371674815442,-1792.1259064157334,210.76309811074717,-1790.9339535589083,-1798.6601309743544
