Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
410077,1680.5928144892619,1679.6160826842174,1681.1204256346703,1680.7587383151865,1679.4001765727294,1679.0934274168767,1679.616225563937,-2271.0035200282236,1724.4802717373102,1725.8111368527407,1725.44144508621,1725.7232220080598,1725.6566637720518,-1989.4135429230346,1727.2260922463768,1724.9332623494668
410078,4070.2596956211823,4071.099991298828,4068.134395834645,4071.821718951375,4069.4648393617567,4069.0395139758048,4069.7185357832986,-3593.503540653585,4087.9299022999076,4090.3460497961946,4088.5910386874075,4090.9115905168737,4091.519197028779,-4215.5666296574545,4094.5354155046025,4090.849235838177
410079,5319.814396362605,5322.3650078420105,5315.609535800926,5321.858761540594,5319.603801587982,5318.261105350188,5319.704268428522,-4365.62883819493,5347.170710597253,5350.54376676289,5347.835865412622,5351.435513575769,5351.937380554566,-5417.341126007938,5356.375314128898,5352.064077697899
410080,5139.60929273679,5142.913699954082,5134.158156796785,5140.889116682443,5140.113233425338,5136.9773453459675,5140.211638584638,-4320.84990979221,5183.895983952498,5187.555169511334,5184.520263952345,5188.6478522460975,5188.208267915368,-5288.01197387942,5193.457742675245,5189.845996350083
410081,4459.752635038464,4462.652764644405,4454.201037713969,4459.938665745314,4461.057197771158,4456.290929310237,4461.654148631989,-3876.1588358394383,4488.320902600284,4491.72116056191,4488.320411755201,4492.830624459139,4491.395879019299,-4650.3089540286055,4496.522193492092,4494.484542559167
410082,4308.107242177449,4310.374966716987,4303.874903977268,4308.188658752523,4310.220797043894,4305.229771082345,4311.685438375014,-3710.65408516759,4309.849261312445,4313.346890099314,4308.871067874748,4313.897215545789,4312.18182539115,-4493.970688983173,4316.752773022814,4315.954277099617
410083,4508.633020530715,4510.464308648713,4506.511639373557,4509.521548081706,4510.889861427164,4507.1274038917645,4513.319695869917,-3855.8794838165804,4514.490842193569,4518.728595745274,4513.164966854965,4518.407227396556,4517.216576281662,-4704.6531456756975,4521.249568545827,4520.618460218241
410084,4326.990820501376,4328.155030407255,4326.1761041828795,4328.342457281231,4328.15573441501,4325.879562869629,4331.28292587238,-3819.8715500973713,4352.559634918123,4357.529286541863,4352.066826824628,4356.877756074974,4356.546788499492,-4574.266953722155,4359.895530759271,4358.687469669065
410085,3905.680985349756,3906.199548137476,3904.4857674187433,3906.7298320543855,3905.335937430507,3903.8019123912463,3908.335078522931,-3542.7978917975242,3923.398459737666,3928.6724142437815,3924.4653631491187,3928.605501714133,3928.8278177845336,-4185.051205007534,3931.345996493465,3929.6309561624557
410086,3911.380266266707,3911.916221453824,3908.650747327005,3911.9062279677078,3910.2634533491537,3908.772901031131,3912.1447011411865,-3459.5977837112537,3903.6622694326607,3909.18952926723,3906.2570360130785,3910.1484621029026,3910.283084658324,-4178.390629409632,3912.3076311699765,3910.647365718846
