Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
173504,-66.580879579963,-66.84337025280584,-66.36080527193486,-65.55672805910632,-66.40070409227928,-67.87306506746985,-65.17958010785443,413.04638263322806,5.126605910380331,1.4215666337555923,3.8713047961092855,3.963556626874478,3.409421650733961,635.490423785278,4.697008713680873,3.5808113743194276
173505,1487.1874429918714,1486.9630512971084,1485.5677454436761,1489.5990609170972,1485.2600533157672,1486.7112788926602,1486.0368213157383,-580.6357566111236,1670.7583403848669,1666.4499894647386,1664.0231737814868,1665.8580806343173,1666.213205460763,-1271.5842550617904,1669.1544368519833,1668.2400089620107
173506,1884.4696738709417,1883.8073085926917,1881.5083940295772,1887.4386649881276,1880.8899068819446,1884.6441474520636,1881.6672120111389,-941.9588795277994,2141.0413290915617,2135.966518069835,2131.3217061850287,2133.294739180482,2134.276635192681,-1826.4469903529866,2138.1712790039946,2138.2264239673996
173507,1498.1437656796838,1497.3043695836739,1494.748853606321,1501.2503968018054,1494.131004850708,1499.0998406033516,1495.6595504676195,-805.8724308556589,1762.0101746090509,1756.7256209155175,1752.4900833020952,1753.6784328016988,1755.0299045398974,-1399.1719005922548,1758.7848667382045,1760.337421681279
173508,1438.3099498547062,1438.2423607314238,1435.296085800332,1441.7237600212065,1435.3829243172745,1440.3527981662123,1437.8628069327585,-757.9796852224914,1670.0047479654527,1665.5659402329754,1662.3846690016535,1663.6881868570395,1665.1394937890445,-1269.9336446911707,1667.9245514470463,1670.583452139464
173509,1784.3907288119326,1785.2175136275644,1781.971360121259,1787.8861758391085,1783.1989383996668,1787.1374685922885,1785.709554034541,-936.3681163387188,2001.3515072230114,1997.883416495224,1995.52080460647,1998.1465987880686,1999.1763131667913,-1624.030609055717,2000.8548280701978,2003.7779435829884
173510,1747.8911012748385,1748.4106186146837,1745.6909588048673,1750.9070522319385,1747.6773986743315,1750.3383240756707,1749.2556712670375,-974.1907253775435,1974.408679116224,1970.5643634814055,1969.6069522432272,1973.615371172546,1973.687949443619,-1596.6712084876826,1974.4031452245044,1977.2388082422358
173511,1313.0712195409656,1312.0432195169979,1310.5390091217164,1315.6027983495353,1312.4547402547687,1314.5522297635848,1313.359644621141,-792.5972348545297,1530.0820267899446,1524.6137881049867,1525.4612286254298,1530.4901501178865,1529.6508862354995,-1096.8382292491465,1529.2615068266336,1532.2979299358633
173512,1304.270948462112,1301.7096157737167,1301.2720138166278,1306.9835175320377,1302.4553257677408,1304.742264032967,1303.5815068404604,-772.642561973281,1485.0775920477809,1478.44568069443,1479.5560519223004,1485.8806154050483,1484.776745631754,-1026.018740948714,1483.2696615363047,1486.690392978335
173513,1796.885913814216,1793.8659320906022,1793.8537976442244,1800.4007131268384,1794.0023506241844,1796.2665463264048,1795.5425904879323,-1013.6167765736818,1959.30704067378,1952.9424259811483,1952.1770337450525,1959.8868972170396,1958.934770935177,-1540.0569568965548,1957.3666943800902,1960.855522951855
173514,1909.0001574473868,1906.4984085975534,1906.3528266090323,1913.1941343753742,1905.7188222154125,1906.9766815217697,1907.046367695405,-1106.568817111975,2087.141367732044,2081.5932308123647,2079.0139425425295,2086.8524703027138,2085.6166682537155,-1684.4152383173066,2085.8709927408113,2088.972177396383
173515,1427.6167827645,1425.903213854908,1425.411839436618,1431.7928471966243,1424.9385862710863,1424.6453690402373,1425.411227410023,-886.2935468257629,1617.3406499117214,1612.0920311296436,1609.6966891521379,1616.058861405592,1613.6850750767014,-1158.872091296743,1616.945344269129,1619.3429934436456
173516,1237.1313204222995,1236.133622107785,1235.3893584254324,1240.8823857609632,1236.1075112853766,1234.8807746346954,1235.7035465268427,-759.7434455033847,1414.8881885475366,1409.5791580254465,1408.425516132357,1413.3283046688605,1409.4980335189596,-916.6049870090673,1415.244423210079,1416.771912715318
173517,1699.7129945641852,1699.3434581371855,1698.5528100998858,1703.1650502268653,1700.7495648269526,1699.3556530074195,1700.1162206852252,-965.4999898407929,1874.294436829675,1868.849681334698,1868.1691714020446,1873.0129390969864,1868.3376147301935,-1416.3804704093304,1874.999097963374,1875.790635660709
173518,1973.3039598933963,1973.3111111390958,1972.5622844345507,1976.5676086635042,1975.9096271758326,1973.8873337363764,1975.8250449048721,-1123.6304307667351,2170.471928660762,2164.466808133495,2163.4940741509317,2168.869436199091,2164.429475493025,-1749.4322937834163,2170.696501270646,2171.412539868645
