Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
534168,789.5564087318006,788.0179777857286,787.0712121500496,787.0764152932949,787.4123723211679,786.4477703946762,782.3547643180324,774.1287795582246,795.2287718504926,796.7715300991417,794.5136841158472,797.4898550950063,795.955324968298,-1496.3983084466372,795.6851863061662,795.9227148593249
534169,1708.4871389755083,1709.0846240738606,1704.4154240913251,1705.8233274331458,1706.4775383640433,1703.8932848779268,1700.9832863203537,1693.8444903757354,1704.4105261392478,1707.0192622829104,1705.1904849101775,1707.405327541655,1708.6937745934674,-2124.9444513515155,1707.789788502349,1705.3797755320945
534170,2096.5257533739314,2098.430985727704,2091.285674530487,2094.082957840984,2094.7602457358103,2090.1081051628084,2088.828629639821,2081.693282093597,2088.580948832833,2091.794555195308,2090.868495294965,2092.3847309054354,2094.7401429002384,-2403.6373081428796,2093.6098234931233,2089.400525272761
534171,1958.2624884371749,1960.214362747255,1952.390938395014,1956.2093217090548,1956.9634424198023,1950.1998969695017,1950.4531630266854,1942.6775237323147,1953.8263017670727,1957.2454048271702,1956.9675650146905,1957.8391728440583,1959.7461678085149,-2311.062407460541,1958.5734901934134,1953.9464340050533
534172,1760.0557883138954,1761.2362265801034,1754.0859496630817,1758.3103921475915,1759.3686516877926,1751.4552676504713,1752.337360575529,1744.6233809933485,1764.3475580070244,1767.7149986030315,1767.16362132346,1767.452848397435,1768.7996414522968,-2150.589070680303,1767.1529987954784,1763.353881076678
534173,1776.7201098503253,1777.2527066482953,1771.1682972893693,1775.5397294652505,1776.553329440357,1769.064033343731,1769.3547475806652,1762.8607359868133,1791.3069800918693,1794.2537134446768,1793.08349739768,1792.8973970807615,1794.0404353894094,-2140.527808855806,1791.4895113932546,1789.081455683471
534174,1800.5946220830751,1801.1311485514789,1795.8671961947252,1800.4048306879545,1800.7880561395382,1794.818762304748,1793.497400474278,1788.5071463691424,1822.8582218700008,1825.0031986696067,1824.032034057164,1823.5824751892326,1824.020843051916,-2162.9978242137277,1820.8949478400064,1819.9308629003297
534175,1647.7163795958695,1649.099239831151,1644.2360678854209,1648.562971605449,1648.5787032487399,1644.0254125042961,1640.9869098350036,1636.6940204783684,1672.9204132558766,1674.1704069696607,1674.2027184529302,1674.045109108196,1673.005308965202,-2064.6816826032114,1669.902740703088,1670.4687829073328
534176,1528.0016785068472,1531.078020799002,1526.2788102523532,1529.7648617612822,1530.4055366354291,1526.3294480968227,1522.7354677082358,1518.158537936607,1552.6800749754593,1553.2973118963746,1553.5530452240976,1554.7218071656107,1552.4846695638162,-1959.0730915335237,1549.5706277144868,1551.7869424169476
534177,1622.053953427262,1626.844845327758,1622.220279898949,1624.6405222126248,1626.4565870539986,1622.006881296203,1619.209109362662,1614.1119190286622,1645.0236568000335,1645.3747600324214,1644.1555652732943,1647.769718272361,1645.0560163879713,-1991.6870850519535,1642.2194982833832,1645.7915200728612
534178,1702.731462726305,1707.9891123043785,1704.1162275866814,1705.5552665041714,1708.2830529295704,1703.0669571485928,1701.2391111490688,1695.9964788357947,1724.1915203799083,1724.3788690405254,1721.1678967310718,1727.7113744412932,1724.1497333122652,-2040.9045672636325,1721.281849917721,1725.6839019585873
534179,1549.4769288467346,1553.6524690527276,1550.8979835868527,1551.3769165471276,1554.4927332196273,1548.417148267487,1546.6766873054748,1541.6876646221767,1569.4452588996905,1569.2704530058077,1564.9035517433763,1573.7852201291853,1568.467748259151,-1940.184722081688,1565.4872163163047,1570.5165942582523
534180,1381.5353889149985,1383.922293874827,1382.009995712604,1381.6293978449817,1384.7775105051123,1377.976207049282,1375.4725361419387,1371.311624157032,1398.9034327323789,1398.2210072646933,1393.4468588284099,1403.2735532329857,1396.6023579482398,-1805.1105043104542,1393.4811617734965,1398.9640461210874
534181,1465.836695086321,1466.6500212324227,1465.0676434878242,1464.2449987933742,1467.1517829285217,1459.9425318114063,1456.4635517337629,1453.9240145566682,1480.117560101353,1479.1173552137548,1474.2764993304813,1483.7704678786206,1477.2271147244664,-1830.136637706379,1474.0603883258145,1479.4134073496184
