Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
623235,911.4138812153514,912.7601702874776,912.70279018238,911.9349242595857,913.1287503084418,912.3648240437058,9963.201962822452,-376.14402480416675,897.700658011026,898.1274940370508,897.2213531223398,896.014494994948,896.2687921461951,62.901864573823474,898.4529951901492,897.8212552425167
623236,1236.9334816943833,1239.8539173669487,1238.2028311653855,1237.1479165859496,1237.1649599750651,1237.8983635921413,13032.198534855454,-319.1398370875004,1194.8822374221045,1196.1607187343538,1195.7187916381492,1196.1335917808656,1196.6171502669126,-142.86050736716558,1194.7551437633135,1194.08729638881
623237,1501.9556684910704,1505.3960837358743,1503.0953681314688,1502.1858859911604,1501.4617194976354,1503.8598818939945,15248.465281918172,-304.43310692181143,1452.8483170984118,1454.6340197042891,1453.9920154249467,1455.5839989052183,1456.370151818856,-347.516869776097,1452.449949004262,1451.1796237669394
623238,1545.1538566393965,1548.0481645951077,1545.9348175145037,1545.8725347127427,1544.730997284612,1548.9038115865958,15522.390012764718,-237.12367940316557,1506.9378364683516,1508.7943531607834,1507.2590463032966,1509.3335363136305,1510.2296160442693,-416.620526171867,1506.288926832205,1504.6119042850792
623239,1380.4301084463045,1382.3861860439592,1380.6363104361135,1381.8160674816436,1380.4567337153692,1385.7992948402161,14266.553013932073,-56.234445368603126,1349.8637293813474,1351.6763532566529,1349.1766634060846,1351.2345533497232,1351.7597002028447,-315.68397296430453,1348.510936019401,1347.7862632293425
623240,1274.509138868595,1275.9535047864595,1274.3525964070327,1276.4444014380267,1275.5785536039434,1280.6238860105116,13447.067209082154,119.83927435164661,1239.3053171368856,1241.5104244400031,1238.5223517936236,1240.7887969321791,1240.6399653009398,-237.18535322374393,1237.6021794308558,1239.1028975949648
623241,1351.1842462413715,1352.9603823658672,1351.290649321872,1353.4166555191564,1354.1106746904638,1357.5260567363666,13821.160791535525,179.21790349449816,1310.0501140450867,1313.4538490136958,1310.3292667730113,1313.5500007244605,1312.9259056393594,-304.13486305188724,1309.25394779835,1312.815801364402
623242,1410.1759700688804,1412.703170907349,1411.0165232027944,1412.084507218219,1414.7836633747866,1416.2274864221251,14052.069691869914,203.83468798572943,1369.3217637200642,1374.3782443273903,1371.1726116811265,1375.6107504875722,1374.801233639716,-372.67481749146623,1370.1801586170916,1374.2500306920194
623243,1309.8461594103023,1313.0229896105277,1311.3269771566806,1310.5527838976705,1314.8033305503127,1314.6508696896387,13370.73505928701,308.5548286458472,1268.1087690549807,1274.2507183046434,1271.244683706043,1276.3149756451755,1274.9170159416685,-308.7421399934419,1269.8802899678642,1272.779016871435
623244,1218.3931424105685,1222.1847585437495,1220.0668028390978,1217.5224114723633,1222.6506230569953,1221.512735268905,12934.238102741743,429.06556062685894,1170.854567765926,1176.9391705757744,1174.4161925443,1179.5614102741688,1176.526505515667,-232.5745413730123,1172.0628302500304,1173.0496009042952
623245,1284.7101401098726,1288.8733050927108,1286.3578986777682,1282.633389122741,1288.310932018971,1286.8923528477374,13518.898859192133,448.1600755931193,1235.6810195686262,1241.077194198735,1238.5824697278722,1244.0049075612956,1238.677449602858,-285.8396332733654,1235.6854614891477,1234.9116613609708
