Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
372713,2437.8447767456028,2439.176331325845,2436.8678781216754,2438.4116204856746,2438.1421265883964,2440.0668291680604,2439.682551749392,12.552791673891875,2467.795418192862,2468.5279481959515,2465.8432080953535,2467.267403259398,2468.895529582563,-781.4823088896936,2468.565968828861,2466.9805739940984
372714,4235.817541827267,4238.575338216112,4237.033757454534,4238.030485711142,4240.822808232926,4242.708002813646,4240.020689994007,-722.1451615069846,4265.094557738351,4266.734291978302,4260.839488158304,4264.461793161861,4266.705780308035,-2266.298695987123,4268.499422591595,4264.188892479857
372715,5469.802929216776,5474.197050235841,5473.015809005809,5474.20320014119,5477.792876831691,5480.3140738443735,5476.228194425934,-1192.7980393092307,5498.392010295923,5500.824822330262,5492.409218570213,5498.1076521410705,5500.631032277661,-3394.526505543023,5503.682168932514,5497.367262477319
372716,5602.7734626164,5608.769335717099,5607.610245795531,5609.415627240744,5611.307847073302,5615.083164636046,5610.732021413813,-1236.8908133331238,5634.531335525799,5637.56304698583,5628.230229246755,5635.323125037411,5637.249494040363,-3642.1086011071347,5640.984301605971,5633.569504796207
372717,5003.8033640281255,5011.191675239572,5009.503494213701,5012.098038627539,5011.181423576514,5016.424280558833,5012.1751570239285,-1049.6684237780244,5045.700322356159,5049.317396097423,5040.167366267318,5047.719546540963,5048.364310788591,-3203.8286098444405,5052.9419317897455,5044.98323024996
372718,4763.265208293164,4771.933905064334,4769.068171486622,4772.666948254675,4769.453998938401,4775.916288918586,4771.260604388562,-1014.059401535078,4819.121318619596,4823.358244482268,4813.89055192446,4821.476533331563,4821.047903411823,-3046.0287110930453,4826.636902295238,4818.322967315969
372719,5154.705070479431,5164.145567376654,5160.710258526082,5164.626342799458,5160.642211201071,5167.529626713711,5162.2550300096245,-1176.7356343253582,5223.599781126006,5227.963445874008,5217.438449016493,5225.113824874041,5224.1881670866305,-3506.0835257326994,5230.330995719729,5222.217949939612
372720,5371.85156169855,5380.822333462879,5378.753495916662,5381.332368698622,5378.076792792814,5384.511179168277,5379.373193061544,-1255.494213533549,5452.981910652234,5456.379986547434,5445.529847003108,5453.281579702161,5451.998039953269,-3856.0178554469094,5457.812162001045,5451.293781951754
372721,5079.117804476374,5086.752607846216,5087.057866794959,5087.45012298195,5085.528191825511,5091.400201045076,5087.207798905798,-1183.286367495183,5173.152833052381,5174.834754715267,5165.104517842926,5172.957486323908,5171.051415008054,-3689.6426060861254,5175.839032419957,5172.288359238364
372722,4964.933409797269,4971.845441344414,4973.194409481952,4972.179844307184,4971.27436997935,4977.408835772367,4973.911377544751,-1205.3738163723838,5070.109245553103,5070.6187890433,5062.398607582501,5070.682087245718,5068.035739977248,-3616.5350815165093,5071.591111393594,5071.0196321239355
372723,5362.567860931644,5370.053565957309,5370.2767778017205,5369.093401660619,5368.7177591649,5375.958107666163,5372.052548660292,-1384.9733375211408,5474.748022169622,5475.404313437854,5468.262492012823,5477.00910436581,5473.746401619004,-4045.864550205337,5476.453900157963,5477.236602841947
372724,5599.745652669408,5608.354148135511,5606.495231594881,5605.81449632076,5605.870906102764,5614.06229204081,5608.987990029898,-1473.5036722573875,5716.968085243972,5718.326200187048,5712.300089877233,5720.677372911423,5716.896994378871,-4397.613039857122,5719.767189093534,5719.633991681774
