Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
142998,-416.19297426947077,-417.7395405356733,-416.2674477767296,-418.51839375898817,-419.2681789047424,-417.88641055504985,-416.53904513975624,-410.9555924407747,-410.65315601317394,-415.1742247109282,-416.63794346227047,-417.98312529104874,-417.44446643376864,661.785222834378,-417.3197806512897,-419.08062783930677
142999,-1328.2450601545493,-1330.6137034249596,-1331.0232687743671,-1331.4199028998446,-1331.753863905748,-1331.549991593255,-1331.5470337956326,-1329.7535486762758,-1309.685151934574,-1317.4109817254068,-1321.5588652202441,-1326.7217773400819,-1326.6899283002701,1347.7021957863421,-1324.1202949219762,-1328.4864372119532
143000,-1698.6457566619545,-1701.370893134836,-1702.7416316055524,-1701.3682707451703,-1701.6090147314771,-1702.2475655367584,-1703.403000185196,-1702.7775422945665,-1672.6159172233083,-1681.7985386633331,-1688.0656364957563,-1695.1632883370917,-1696.4866984462087,1650.973294381383,-1692.147035358654,-1698.1501752728811
143001,-1567.3651096145186,-1569.8335591429352,-1570.9072297555404,-1568.2787152549188,-1568.737330547011,-1569.9946477542112,-1571.621002088993,-1569.3960502901227,-1541.502234915225,-1549.6367136451452,-1556.4639849465398,-1563.3838764621412,-1566.5508762104346,1573.076139522971,-1561.230266561225,-1568.2072385054516
143002,-1419.2800560890023,-1421.4084883195217,-1421.0449877915112,-1418.1213112348232,-1418.8826519585693,-1420.6492020071382,-1422.000764013284,-1417.6403155084486,-1396.8790434377831,-1403.273981426481,-1409.205611539729,-1415.2968039279424,-1419.687108093327,1448.8596778345945,-1413.777568617258,-1421.6705085508615
143003,-1483.8908629762932,-1486.6249510490093,-1484.2008082261004,-1481.9731969252282,-1482.6203319060298,-1484.6332811015254,-1485.5483508147468,-1480.4992119960477,-1461.8485672048996,-1468.281576156291,-1473.781688030697,-1479.35172022048,-1483.7915759638763,1477.351856164762,-1477.273610617674,-1485.8062951695806
143004,-1514.7564054638406,-1519.2576900038007,-1515.2663898938513,-1514.247392044008,-1513.9050743878245,-1515.7263211364486,-1516.688730692731,-1512.3199801810465,-1488.4458183694146,-1496.142268118349,-1503.195993427845,-1508.0285880298115,-1511.57143342076,1508.4236346943508,-1504.3886716956144,-1512.8888397696705
143005,-1360.087665795515,-1366.2179965592195,-1362.4662349956332,-1362.371239034815,-1360.4752513629205,-1361.64879590088,-1363.551997047224,-1359.9371315153653,-1327.2903551948193,-1334.8603342173724,-1344.4843238777262,-1348.1313559707878,-1350.2727002415058,1406.7758079380976,-1342.7126034468554,-1350.5778840615262
143006,-1272.2174319499031,-1278.4838221314742,-1276.9648783505884,-1277.0522514991208,-1273.9927391823,-1274.4362808008038,-1277.928831952855,-1274.394598892868,-1232.4043663829266,-1238.3983384875112,-1249.674487845707,-1252.3734477602925,-1253.3160876084162,1325.381504095334,-1245.8655597007578,-1252.7756895296554
143007,-1409.482879770787,-1414.4481409079444,-1415.6240145170682,-1415.7108314483817,-1412.3025109229236,-1412.6228989798856,-1417.1943318051683,-1413.3155046331842,-1363.1957588296568,-1368.7303519766726,-1380.5907641161275,-1382.5215687243676,-1383.2428510479776,1402.3160269816435,-1376.211495031407,-1382.2398566563838
