Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
366177,384.4235385800782,386.56011141628034,385.1124861402367,384.1725234847313,385.15024894370276,385.2653258357733,385.00674935062295,388.3385693026204,377.24058862946157,380.3321956006683,381.470178430132,383.16481201396005,383.3053211003832,-306.8405926386307,381.80530334041003,382.2237763541429
366178,1256.39563721165,1259.6854679999774,1258.9995016471512,1257.294832755421,1256.8778207011715,1260.9266653643222,1257.4433144786708,1262.1758832083156,1227.8288533690024,1240.7087281514935,1241.2842263520597,1244.3294209745977,1242.4713606045655,-896.6188104957477,1242.9802734908128,1243.8719387219953
366179,1639.0280225712208,1643.3839195836372,1642.4835034268451,1640.3647401507374,1638.9916404081969,1645.2578683217153,1640.0989032651678,1645.8507906993455,1593.016053276407,1611.577109673597,1613.1879429016233,1616.3030635734162,1613.0687136718961,-1166.0415175994385,1614.5742266498373,1616.8839891000898
366180,1535.6617232567012,1540.7168038876125,1538.3382258196655,1536.6919493719197,1535.118375355592,1541.37468344025,1536.1731644552665,1542.5539216454558,1479.1477322290177,1497.780598641119,1501.4843399882734,1503.6443246376425,1500.025460630589,-1091.648049086403,1500.6737833537995,1505.198319578114
366181,1376.1592167889814,1381.770557388796,1377.387539350405,1376.8531766937417,1375.988459277764,1380.4877598158037,1376.0641279981746,1383.0271451043022,1314.6597249558858,1330.4839724383146,1335.634455563376,1337.1325929096938,1333.985932794626,-949.6034082789319,1332.209828888783,1338.68921762039
366182,1414.123687139414,1420.7835859485344,1415.1353025242406,1415.1100651019665,1415.6197719689999,1417.700051229534,1414.2515097758883,1421.5984573693456,1349.0671248686222,1363.2524395177352,1368.3565824042023,1370.535592677118,1367.937530660548,-944.9022479306939,1363.7975147766726,1371.0138247312632
366183,1455.8618541792978,1463.7846869929867,1458.4210283557318,1457.3364055090665,1459.3130797574536,1459.6211692260908,1457.0188815749868,1463.6119853710284,1388.0260904254485,1402.7647347903498,1406.4560946765614,1410.444068839373,1407.8705522980567,-974.2986308873196,1402.824397398837,1409.4021019151023
366184,1329.814376419813,1337.9051284474667,1334.0823984108977,1331.101567686549,1333.901832667495,1333.8231538197672,1331.5478970932047,1336.0739010058778,1261.9589099290167,1277.8260734428463,1279.3349433118738,1284.8265502361837,1282.152653777749,-895.2511964723254,1277.604646114523,1282.7219184857172
366185,1232.987369315692,1239.4869275953315,1237.5019585026744,1233.5252643103308,1235.919173318753,1236.6462908165672,1233.8282879365079,1236.4493101982175,1166.8241976707427,1183.359552430651,1183.3069696227062,1188.8167920702565,1186.5338584145418,-810.0543659532574,1183.0006908319588,1186.7306359877914
366186,1337.4663162988245,1341.6066837704584,1340.9600531330952,1337.6091432430871,1338.6188256080222,1340.5847725147623,1336.4907613800397,1338.6489077636884,1271.523204416876,1288.4399532360694,1288.7697916136674,1293.194015506645,1291.446403621006,-857.2984005942233,1288.7190619000796,1291.9901393518155
366187,1432.540876806923,1435.0729191839446,1435.0037420428966,1433.076950909198,1432.7741262616719,1435.7187546308,1430.120972178198,1432.9063197159726,1365.1205708553864,1381.9549938318073,1383.9167783936314,1387.5652971901013,1385.5449484663104,-927.6321020462888,1383.0600946944066,1387.0719895979655
366188,1307.0040985442765,1309.2645764591655,1309.195716556881,1308.2765352457072,1307.4747542518048,1310.9614064317443,1304.0769274412874,1307.9122708813616,1238.458657184895,1254.0902748294725,1256.619553571653,1260.758978096344,1257.5850200813911,-859.0719497080001,1254.7741671143922,1259.9966843350549
366189,1159.871554618258,1162.9210029868652,1162.6347590683745,1161.4818708280789,1161.009063459689,1164.7168740932661,1157.189206767496,1162.5634229090847,1090.9919310218722,1104.7400832981289,1105.8716109624386,1111.3377999578654,1107.4112565479445,-749.6071784773628,1104.036192390005,1109.795892257528
366190,1243.9621921470862,1248.5067726289878,1247.984736747916,1245.1184584639975,1245.5745582502677,1249.1513915227379,1242.0647295074536,1249.178745564761,1174.7591773459058,1187.6023803510916,1187.1624506364105,1193.3928083092037,1190.2052897316757,-783.6131815581412,1186.4503904290577,1191.809378356675
366191,1387.0433105032093,1393.4294830314439,1392.6084280718499,1387.3187619255932,1388.8934026561544,1391.9280319059308,1386.450185730715,1394.24382102116,1318.7056567178834,1332.026188845037,1331.6656233060726,1337.2364602519942,1335.7074726125984,-881.7229023799107,1332.1363361050762,1336.887294373643
366192,1296.2747638786436,1304.2262647945506,1302.9366166383857,1296.2228849417174,1298.4159565323262,1300.591239532042,1297.473775982895,1304.0271884296553,1232.3780064155549,1245.8253789009104,1246.556712106198,1250.564860427612,1250.236922272356,-837.2555878403057,1247.6467904620936,1252.083501681501
366193,1102.0436740860837,1110.7777568499182,1108.6306643054277,1102.872379843348,1104.8242685270952,1105.7995484231928,1105.1448060523235,1109.3217262853104,1044.0976782763619,1056.4694835245716,1057.6559736970173,1060.4631892393995,1060.4806568306817,-700.3776795692582,1059.3418273963375,1063.4705584899539
366194,1129.4240011137963,1138.1466048855696,1134.7107334090629,1131.806271237721,1133.1944259619477,1132.5686392098087,1133.6870197343765,1135.9573054969665,1072.3401355809892,1084.1159924616686,1085.0807988214683,1087.7505144814108,1087.8634018028624,-693.780394732922,1087.8857583537706,1091.3720838798622
