Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
196972,-896.0743554588164,-893.794483412566,-893.7253479047474,-895.2075263581366,-895.811085457766,-894.6540119572759,-896.2023898721726,276.8542627098139,-975.5747507013299,-976.0076885834047,-973.5652942693509,-974.2510684485545,-974.1578812277808,423.3798644235188,-976.1419366491508,-975.4903625475998
196973,-2590.472432059514,-2589.0407144627725,-2587.7614616348183,-2591.1380339537363,-2591.2485693339495,-2591.3113284819956,-2590.9090632055377,1583.2434258213223,-2769.6342603142075,-2771.1181069584977,-2768.258737596245,-2770.0223592136263,-2769.9979870349944,2408.1610801519337,-2772.8026095952264,-2772.8943982294413
196974,-3091.8741433157793,-3090.5272667646477,-3088.4561916492785,-3092.918724703002,-3093.1336529775585,-3093.9327679097078,-3092.0429930750824,2159.582168025585,-3333.1846149389835,-3334.655622984868,-3332.7838985259114,-3334.65404283732,-3335.0733811136333,3072.5188271111133,-3337.850526979893,-3338.3351583428944
196975,-2713.448248983215,-2711.9147050497813,-2709.3063358015925,-2714.2822940432743,-2714.8501573732565,-2715.562774941025,-2713.4045269302696,2111.4696804715313,-2952.124354610327,-2953.222875444192,-2952.9183196609224,-2954.1678526955884,-2955.576034091775,2697.4586544857725,-2957.369284485876,-2957.890298694145
196976,-2579.4486034858305,-2578.2667909666898,-2574.85508877565,-2580.8008237250247,-2581.3720946285043,-2581.432130613768,-2580.2623960593573,2092.477115600142,-2777.610310553937,-2779.3713357565484,-2779.352331685905,-2780.183865044254,-2782.748667683219,2511.2651595766315,-2783.0556591714558,-2783.80883412001
196977,-2872.6027029413963,-2872.15273423942,-2867.5119811131326,-2875.142513378368,-2875.513784451726,-2875.023208464205,-2875.0403175157253,2365.982047756178,-3053.657064221683,-3056.847978726354,-3055.8664729901147,-3056.511817885983,-3059.7595298218794,2810.2227035586375,-3058.7939210269087,-3060.4095292501615
196978,-2846.345114269184,-2846.2322416599327,-2840.266920033626,-2849.4103877040175,-2850.0269884670643,-2849.42376835398,-2849.905790218413,2662.949478685183,-3046.4470593139295,-3050.0617399651433,-3048.8058877064777,-3048.5734830307624,-3051.6421340777088,2827.200065600341,-3050.463607487522,-3053.150125863088
196979,-2408.3485721555385,-2407.9780338827622,-2401.084631503263,-2410.80209451476,-2412.1566193965336,-2411.954107596404,-2411.988519061434,2936.275854181352,-2620.4146196461206,-2622.751702871413,-2622.5955758532773,-2620.9068420939893,-2623.038915693924,2389.1184508417327,-2622.758941290819,-2625.864576896693
196980,-2337.8107805359195,-2337.359472876149,-2330.3684004459838,-2339.6558408494475,-2341.3334420725064,-2342.1778430270433,-2340.96269589573,3552.8548555178822,-2537.5755398617744,-2538.1540884841907,-2539.0142405607203,-2536.7907856216807,-2537.709176611418,2290.645831399771,-2538.293585249089,-2540.8272698634746
196981,-2781.88246192491,-2782.23421844541,-2776.216892610314,-2784.0669185106726,-2785.092238166999,-2787.2463130820092,-2784.5675443913233,4557.776146881548,-2978.594665341706,-2978.142617865462,-2978.916754995784,-2977.752828672345,-2977.4683188498343,2749.1067632929025,-2978.1850180948486,-2979.558528805692
196982,-2912.914092682493,-2914.245320303311,-2910.0463172586424,-2915.6634812774064,-2915.7089526013315,-2918.6125219568066,-2915.2488614773692,5430.161414429797,-3129.006903988902,-3128.0089270058543,-3128.437652278879,-3128.639137461121,-3127.252608752219,2916.831675056596,-3128.201111723799,-3128.4188979995915
196983,-2452.6503947328097,-2453.882817717674,-2451.394355126632,-2455.2855282905984,-2454.6395488827284,-2457.572928996905,-2454.683705277702,5876.250208359885,-2674.796553195385,-2673.0525533902573,-2673.688157663249,-2674.2252321729175,-2672.275049145439,2442.3080516869677,-2674.3766530197186,-2673.7894833970613
196984,-2219.8896564553415,-2220.065969650899,-2218.0605156042484,-2222.102629666574,-2220.9035900512167,-2223.6781408128845,-2221.9012356911544,6253.208306704059,-2418.588150221669,-2416.2139351704627,-2416.6849831061927,-2417.0537334471182,-2415.593208546573,2168.0317790725403,-2419.1070121386037,-2418.117153390792
196985,-2627.577398840739,-2626.542387053084,-2623.8112882718897,-2629.3468510198327,-2627.8459507751554,-2630.536293300497,-2629.8300153572154,6844.781267422247,-2811.6606326429173,-2809.3677194526426,-2808.2735543382532,-2809.204263372013,-2809.0325221824737,2596.6603102748572,-2813.106297722449,-2812.0074151662857
196986,-2899.5969512620263,-2897.2753255621697,-2893.792470253717,-2900.334043298083,-2899.340968323497,-2901.8311696439187,-2901.7128542538017,7315.502398417338,-3103.2930754218014,-3101.436777605377,-3098.270670624257,-3100.5582384080844,-3101.396538626367,2942.1349227431756,-3105.070103563566,-3104.1881936942045
196987,-2488.3244293904386,-2484.817434755336,-2481.197775745858,-2487.477677364186,-2487.81479173948,-2489.8505293259286,-2489.6078395761447,7343.70265605713,-2712.4360596783927,-2710.884328254543,-2706.7220630704305,-2710.381162199407,-2711.2772276213364,2558.999919517556,-2713.9823344825795,-2713.758685901471
196988,-2087.28011477954,-2083.430164304772,-2079.7432479853205,-2085.346594720713,-2087.09374240781,-2088.505105695558,-2087.7063190982553,7248.5294077598455,-2301.8435753597496,-2300.747117538099,-2296.9013456127286,-2301.221704087523,-2301.903097748504,2132.711882351222,-2303.238411174621,-2303.9448948901527
196989,-2359.4591829356095,-2356.381723583563,-2352.302462525755,-2357.6780850250666,-2360.231812028394,-2360.87968487639,-2360.0680281274913,7435.701856644853,-2561.3923567953334,-2560.905935526059,-2558.0646019820388,-2561.766383327405,-2562.8053068859354,2423.6757048234854,-2562.9463843131707,-2564.6548963811906
196990,-2727.4640867925104,-2725.6680454926864,-2721.484186079222,-2726.7500698299377,-2729.4970380486375,-2729.1955345497317,-2729.5642209088696,7680.9634782775265,-2943.6158641727225,-2943.1935671039973,-2941.8332223350953,-2943.505859284379,-2945.1314217829176,2874.657260123823,-2945.2190924755323,-2947.9736571527933
196991,-2451.6835363644395,-2450.8157827969217,-2447.4211455507993,-2452.1222543003632,-2454.6884343329584,-2453.604412772463,-2455.448525688643,7572.755700773108,-2681.501668005415,-2680.650866217038,-2681.018371210128,-2680.0829338892463,-2681.9597540766085,2644.1525898751147,-2683.0162110269866,-2686.4887749159207
196992,-1985.095017923407,-1984.5104432016522,-1982.233530414401,-1986.323716123914,-1988.3859859036725,-1987.246675392772,-1989.2647595519961,7286.59992793091,-2194.2995112436674,-2193.544503961657,-2194.8345357143144,-2192.4778393979477,-2194.4636616000516,2145.189813680149,-2196.210798841094,-2199.491714923505
196993,-2109.9591549605607,-2109.264642136092,-2107.448633705174,-2111.4991931537315,-2113.0017250069045,-2112.387341034173,-2112.830547080286,7260.650505758642,-2290.85828556386,-2290.9862004625447,-2291.6881731801204,-2290.2403315937618,-2292.3262510989734,2259.3039204337542,-2293.9396203251536,-2296.289230678939
196994,-2490.7154360150994,-2489.5883656886426,-2487.581357598626,-2491.883045971984,-2493.241349584362,-2492.964348720071,-2491.0152382664946,7390.6653736532035,-2675.954398921971,-2676.7647301663746,-2676.4962201901617,-2677.0237450728428,-2678.862871476426,2712.581051468165,-2680.3095057957935,-2681.855614739722
196995,-2322.2582657530684,-2320.4010666690983,-2318.2412069256784,-2322.650803409728,-2324.1814788887036,-2323.5534820575294,-2319.738976615282,7238.151142708789,-2524.7722152827264,-2525.378177732604,-2525.24820849724,-2526.617246611806,-2527.766095892396,2613.987726625627,-2529.6362972782003,-2530.8523903246705
196996,-1826.767607145898,-1824.4577102326275,-1822.4618577091546,-1827.0723227072688,-1828.3951467572035,-1826.9191669706474,-1822.536252601677,6839.935001085316,-2017.499170367709,-2017.4916475693426,-2018.1804323240247,-2019.157967313784,-2019.541759266073,2109.820655499054,-2022.0915608072103,-2023.0382038589566
196997,-1807.9747960420116,-1806.0776886894741,-1804.5514514445306,-1809.4242043320803,-1809.9742282321952,-1807.7497859508885,-1803.8230396229353,6597.8705106711,-1972.0961538998001,-1971.6646879252423,-1972.495742224158,-1973.322260082797,-1973.3763952275224,2073.7791712199023,-1976.1417044698642,-1976.7040997796564
196998,-2134.369679275568,-2133.1921413639866,-2132.907786375581,-2137.147010551532,-2137.1342651790665,-2134.635921618592,-2131.5749368691913,6473.447739251118,-2301.5791304014087,-2300.822427645504,-2301.104682461855,-2302.259571849764,-2302.850601110541,2462.3681893833236,-2304.9883005885904,-2305.2181700268766
