Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
98953,-1833.207253384086,-1834.2898406356594,-1833.0549637265915,-1834.2501640101414,-1833.6101656053847,-1833.1210488614583,-1835.1413044009555,1191.2966260012408,-1815.2921567991673,-1817.1993911364784,-1815.4131082849801,-1815.761806582541,-1819.2992462590403,2119.0822525240346,-1818.48066178509,-1815.4169430166112
98954,-2968.5816671065563,-2968.461867882201,-2967.916837246144,-2967.8305938115427,-2967.1626668602726,-2965.9276952824853,-2971.485961240206,1507.17226213269,-2837.0374784153246,-2838.877315805062,-2834.761827366358,-2838.0317461515465,-2839.300584166444,3015.29712830368,-2839.3598798798466,-2836.263420177014
98955,-3946.114187083721,-3944.3813959526224,-3944.3304789477775,-3944.332859230575,-3943.3762855135146,-3941.0421009860797,-3949.1680487194594,1867.0010920268267,-3769.5733591171374,-3771.6277667522713,-3765.653262017318,-3770.563263402635,-3770.947216245059,3888.9902674678897,-3771.473823733973,-3768.662069716574
98956,-4153.251348916376,-4149.439543570188,-4149.64175159882,-4151.011681658074,-4149.504712037947,-4145.824729515747,-4155.301725901943,1981.830167327037,-3996.4529120417205,-3998.7770652443373,-3992.269461455619,-3996.472032895044,-3997.453495571002,4118.356819165876,-3997.9373989978008,-3995.825047333546
98957,-3578.677250145449,-3573.3479519940356,-3573.561717710768,-3576.483354181919,-3574.2783562665877,-3569.552608075931,-3579.362875824804,1744.8773696190501,-3444.470364288062,-3446.8116581696245,-3441.107536919305,-3442.883111882932,-3444.962351914849,3568.7808844372994,-3445.1150570352206,-3443.681524378939
98958,-3197.016170716308,-3191.88315582331,-3192.0498466964027,-3196.1147799652936,-3193.0640601239484,-3187.9851503202676,-3197.48524276165,1556.1018222098778,-3056.7200303056043,-3058.423287082593,-3054.003244403706,-3053.5887333994096,-3056.5197824524143,3151.689205823454,-3056.227479559365,-3054.9606198794318
98959,-3508.7627041023457,-3505.1542642121017,-3505.7118906071,-3510.6062589309404,-3506.626965736449,-3501.575383483355,-3510.9044334764662,1697.4284160750615,-3364.4327119991053,-3364.1221733356983,-3361.3560045883814,-3359.8606658398867,-3363.3525994213073,3426.3732279048577,-3362.519409153229,-3360.9284928786933
98960,-3783.1299893823625,-3780.8090369693705,-3782.3918918106883,-3787.800993592063,-3783.164990440814,-3777.9113955537723,-3787.637004656695,1865.7084681429315,-3657.902405649432,-3654.2370154983128,-3653.6861276283544,-3651.625981082586,-3655.3583352590886,3704.193630544136,-3654.1081097172782,-3652.1516931790143
98961,-3453.52133722581,-3451.245466326144,-3453.9663255386185,-3459.561423368523,-3454.783049518567,-3449.046184846302,-3459.0695542700323,1748.5166105009469,-3339.442207041017,-3332.7141808032143,-3333.720561307776,-3331.4301657014616,-3334.7405961505647,3362.1394540096553,-3333.7311150340092,-3331.7569438138344
98962,-3124.541543313154,-3121.509024445464,-3124.841868030787,-3130.578800102752,-3126.005033298867,-3119.8228237322196,-3129.3296140077487,1589.3557245232762,-2993.6127509424878,-2986.1081166530817,-2986.4074785665416,-2984.80869111216,-2986.9023559589396,2968.8660395369916,-2987.078710902128,-2985.4320586436816
98963,-3381.168087311929,-3377.7413649761966,-3381.1255836533246,-3386.77325754373,-3382.6387223799097,-3375.992248943398,-3384.611463112043,1709.9993432305882,-3240.5015209268167,-3234.8367509300365,-3232.6232731012046,-3232.5063258259433,-3233.1273319474344,3176.629107212801,-3234.9186664793583,-3233.4794100444497
98964,-3682.320562315988,-3679.0566096883267,-3682.4849135176364,-3687.12751367319,-3683.750144029762,-3676.2875374097166,-3684.845512350754,1901.2183349157087,-3565.41020797652,-3562.5922384239943,-3558.376821939016,-3559.1531142804797,-3559.1064218850925,3493.585230310734,-3561.9463403858763,-3559.811639488884
98965,-3404.110411737458,-3400.633826792865,-3404.610922890797,-3407.5358986418432,-3404.976112365215,-3396.384511153755,-3406.235954542346,1820.580696598092,-3309.587635729076,-3308.8548918216793,-3304.594018576604,-3304.6757171314293,-3305.631930597295,3227.5671104174103,-3308.3873264389167,-3304.110021344368
98966,-3031.3868616022773,-3027.2868244367764,-3031.883612919003,-3033.4969507397236,-3031.4760739317594,-3021.9984660970426,-3033.4917305397344,1638.2619680609093,-2923.21185492944,-2923.3356035929482,-2920.214216843252,-2918.802702417437,-2922.2721247292766,2795.5889998519087,-2924.0719559462455,-2916.528784694813
98967,-3238.0518029440705,-3233.9347951247387,-3238.130695003787,-3239.349669911069,-3238.0059392528947,-3228.260584727682,-3240.1436909299628,1714.3303429280104,-3110.1312876290945,-3110.1932060179874,-3108.1536626973857,-3105.884264620097,-3112.013278899342,2928.041902670694,-3112.6726735354428,-3102.0699636402196
98968,-3599.1703443228657,-3595.6026634291898,-3598.3280798632677,-3599.618536246802,-3599.6935523430316,-3589.887375864695,-3600.6505030759845,1918.8178463500956,-3486.6839001374024,-3485.8278643592,-3484.7269574412094,-3482.655733674841,-3489.8775256381714,3278.492453559001,-3489.7932696154644,-3478.033264223628
