Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
455176,2462.1901748608543,2462.7136924276815,2461.2142926150973,2462.6576979793576,2462.543831109222,2462.700638433754,2463.054651068312,-1078.7303407891854,2506.648659902528,2509.1350867006445,2505.428756175339,2507.512620283261,2508.9801444330324,-2141.8875671451096,2506.7869267733363,2506.944680237552
455177,4717.769805513976,4722.864561070878,4717.342919916744,4722.283885829332,4719.526464491765,4723.1461831575725,4724.066641748767,-2214.187798418099,4721.383140089954,4726.493752769637,4716.721257706324,4719.362529822141,4723.802446413083,-4256.023897683281,4723.493581141342,4720.981558780313
455178,5967.188572049619,5975.5835822844365,5966.557137879785,5974.228477590614,5969.021251613052,5975.869832130953,5976.765985620882,-2936.3244402949713,5970.892325220508,5977.45433711256,5963.843931839353,5967.336611689392,5973.364037490342,-5431.702027477881,5973.630398385785,5970.2677653638975
455179,5864.21547483525,5874.3298973573565,5863.192877385914,5871.89299077334,5864.926872439306,5874.114409926842,5874.712657239617,-2956.5087398389533,5883.9565374173535,5890.688317486924,5876.048835973987,5880.178776984876,5886.233509895873,-5307.995261323136,5885.552414414558,5883.43818815982
455180,5208.618402148013,5219.427524514454,5207.921769164807,5216.150907157765,5208.356926633109,5218.5903074699,5219.172913753071,-2565.360204290616,5218.235342189877,5224.677488997935,5210.525681634729,5214.596437490914,5220.19026851632,-4619.866769414941,5217.89781947411,5217.912542299965
455181,5040.402417063861,5051.448837733973,5040.4331519823745,5048.279920762246,5040.310179319318,5050.604977132825,5051.458881685874,-2399.856508523213,5029.637014571337,5036.019452535105,5022.460214387054,5025.855093373495,5031.585567623242,-4392.507552401561,5028.033016775266,5029.726920754432
455182,5285.1677532204585,5296.195196104834,5285.728582947912,5293.881754307875,5286.103035305412,5296.044211091565,5297.030337967213,-2563.21800952526,5286.312042892205,5292.846069987671,5279.631434750281,5282.106858649155,5288.504657147484,-4597.047552165299,5284.409541620179,5286.989998087805
455183,5193.579897598929,5204.46451555283,5194.771295064241,5202.813585244636,5195.42455374545,5205.089082834029,5205.597244836207,-2589.1955186830746,5228.288160928363,5234.817659570463,5221.702923818586,5223.696903876598,5230.418579370824,-4498.262276659962,5226.119310809729,5228.851651216055
455184,4802.328412453457,4813.199207104727,4804.4518708879905,4811.519404133751,4804.580153887884,4814.416874018181,4813.656828435331,-2345.072806863056,4846.399688832835,4852.642734328165,4839.1144044393095,4841.755715705886,4848.068088213695,-4087.914352754574,4843.271284371658,4845.270328297197
455185,4786.279235715946,4797.222363542254,4788.818929536902,4795.006147189073,4788.385631671144,4798.962295431291,4796.658457303274,-2239.358927316336,4816.330295967615,4822.087010652771,4807.699840928788,4811.879600695026,4817.708400602308,-4020.3209195106224,4811.930331951398,4812.431166308654
