Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
312087,-217.9923992572424,-222.4998504231842,-221.79528860632752,-220.26191838776322,-217.05757005627706,-217.7444080045552,-247.9978730473342,-25693.588627555597,-240.91138942823048,-248.71290385487018,-247.81613195917217,-251.20976594722194,-247.75986432122528,162.82021868998982,-248.80747408959255,-246.48794745862293
312088,-1165.1138164530507,-1170.1024666285803,-1166.9507443532545,-1169.7367949788388,-1166.6311160831729,-1166.8166663577572,-1199.084582886474,-32207.726299364425,-1174.1254317475339,-1189.5990943008196,-1188.266249506557,-1193.890520897371,-1190.6890737946674,800.6894025037682,-1191.51274097258,-1184.1499601632722
312089,-1636.354685491833,-1641.7192679573789,-1637.6131454215824,-1642.752741334884,-1639.7630540712885,-1639.8306066626524,-1672.4197389893843,-35339.25031560046,-1637.57855754525,-1658.3887430810653,-1657.3313197366188,-1664.5415679084426,-1660.8982512334953,1138.0029012302157,-1662.435464764372,-1650.9264618973639
312090,-1572.0097801612978,-1577.967474481075,-1574.456458093005,-1579.3064359905643,-1576.6916068365222,-1576.627188351319,-1608.1273954138398,-34385.47375956933,-1573.9792438204895,-1596.2036558151503,-1595.613733850606,-1603.6989788340518,-1598.8419696591068,1109.941294104845,-1601.3243203186125,-1588.0402983717026
312091,-1374.4894466920182,-1381.4684806143578,-1378.928876432758,-1382.1446855307152,-1379.967115567003,-1379.3253152375732,-1410.496737899444,-32172.098625428374,-1382.0470952694795,-1403.039247157406,-1402.2772156866695,-1411.1185985617806,-1404.8893416028804,964.2978037768087,-1407.3423645933613,-1395.310784403494
312092,-1382.8414737331354,-1390.5762328386306,-1388.7609161223795,-1390.834652323868,-1388.3453719133786,-1387.4235873106422,-1419.9077811999637,-31545.642088490153,-1395.9649761462465,-1415.929095568154,-1414.5487556492342,-1424.3605185847969,-1417.2595569366358,955.3950780134363,-1418.9018089200836,-1409.868745276955
312093,-1467.5304482607041,-1474.8535889560733,-1473.8428340162188,-1475.6350525063922,-1471.8783362954387,-1471.981836656113,-1505.3286949520211,-31806.171801425877,-1485.811251219604,-1505.3359666624021,-1503.5719871404017,-1514.0307912567293,-1506.747383970097,1026.2366404817271,-1507.9496324470533,-1501.1648048837671
312094,-1391.120448036893,-1397.086131507812,-1396.9630889814816,-1398.612581861522,-1393.5542658651175,-1395.5336282288195,-1427.3680025937638,-30897.13336330258,-1415.0979129744096,-1433.0945800880786,-1431.1638464667349,-1441.236869438777,-1434.4082041139807,995.6162195070413,-1435.96643433079,-1428.967318761863
312095,-1278.4294625927062,-1283.3203625896504,-1283.6060874633495,-1284.8623679439877,-1279.273419100412,-1282.7348020361032,-1312.04375360044,-29423.5586076352,-1305.91429209124,-1321.6612968687207,-1319.6198748859872,-1328.4150494570708,-1322.4556434327064,913.6067939746479,-1324.543784171579,-1315.5130371895348
312096,-1354.3608315788606,-1359.2926597730902,-1359.4476389209685,-1360.058905562766,-1354.6324111728347,-1358.7589566236074,-1387.2670426111663,-29284.21468139519,-1380.344366149106,-1395.39238913376,-1393.7931342404381,-1401.0630493282995,-1396.1410350730198,947.1213062436511,-1398.1610645175379,-1387.510927221676
312097,-1484.0957385196605,-1489.8506344677055,-1489.8729196323575,-1489.7552820387514,-1484.7367521872825,-1488.8971559469396,-1518.6715522647378,-29817.875710749897,-1506.4943611003528,-1522.5721727010414,-1522.0907283450188,-1527.6388493711456,-1524.108936874794,1040.2974850083992,-1525.2724466956172,-1514.7061619738442
312098,-1413.4565732350807,-1419.9426785782684,-1419.8710899337466,-1419.4422566737035,-1414.720432086381,-1418.3231258750309,-1449.8140956905993,-28962.34849133753,-1435.604185125996,-1452.2196264089312,-1452.3994274248503,-1455.9524060066262,-1454.2483660802363,1011.149563816189,-1454.2837949047187,-1444.819393821156
312099,-1262.893259523698,-1269.817754063136,-1269.0756448692412,-1268.987505812741,-1264.0444597223611,-1266.8296921323483,-1300.1513804902222,-27277.67157379362,-1288.9955346915044,-1304.98821455394,-1304.292890430641,-1306.8063399212679,-1306.2875536796296,906.0553602811295,-1305.6428001503969,-1297.1154641423818
312100,-1320.0526083673926,-1327.7721203609701,-1325.633130606871,-1325.9210270089075,-1319.9706686952477,-1322.4662437924412,-1358.2814616414214,-27051.662736112106,-1351.8567859810075,-1368.1508457489672,-1365.4720346878235,-1369.4034349087415,-1368.1103105566694,927.4692799385311,-1367.365507039266,-1359.1956554906715
312101,-1493.5369577663419,-1502.7075491667565,-1499.1323483224285,-1499.1421072642675,-1491.997721702487,-1494.8636903411707,-1532.3571278572463,-27944.638426541907,-1532.6876662520076,-1551.0829293660763,-1546.5887980919924,-1553.6720990880285,-1550.0131478162116,1052.104930252162,-1549.1754488552342,-1540.954230934818
312102,-1461.0861716969716,-1471.4999283751301,-1467.2656486061398,-1466.5595949039428,-1459.068173112395,-1462.117227368964,-1498.261168980684,-27414.921701577056,-1510.046358633048,-1529.7873666408084,-1524.2999094557167,-1533.984546168893,-1528.0016444787984,1060.313774943917,-1526.6022453095557,-1518.4431528690047
312103,-1265.963824871349,-1276.2197172642611,-1272.3397906155978,-1271.4092786667225,-1264.457759090345,-1267.1090719794433,-1299.7658598446992,-25396.938593464176,-1323.340169201722,-1341.7657292835383,-1335.9201981188698,-1346.7325828276562,-1339.326981422848,940.8851181989927,-1337.205966569476,-1329.7215452836017
312104,-1253.8056037678339,-1262.4366382927467,-1259.230713229032,-1259.2447730014098,-1252.9846927949216,-1255.3420911080536,-1285.4254234616822,-24554.57733058581,-1311.518746543832,-1327.9480456324204,-1322.218326325156,-1333.554953883982,-1325.29179013857,919.1668294800288,-1323.0096453109882,-1316.60345017678
312105,-1443.2468889446866,-1449.8223377405366,-1446.640864451162,-1448.5481504064187,-1443.129475929722,-1445.5897000993434,-1474.7123871364251,-25439.652238280374,-1492.5121419422026,-1508.389062163181,-1503.420865649025,-1515.3102628587676,-1506.3476113766915,1041.9432764397611,-1504.7235815087863,-1499.117052809743
312106,-1485.7720520215476,-1490.7053954318585,-1486.8541707139666,-1490.7802957800268,-1486.8674643306827,-1489.0789602385053,-1516.8896335652353,-25440.01783014208,-1525.5483170190118,-1540.798407097284,-1536.9713570660058,-1548.9458722310947,-1539.694037611615,1084.2740007398306,-1539.2023434113355,-1533.7162368290037
