Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
325656,21.44814660040739,23.791639076671736,23.049369560798223,24.27326335639094,21.285191508019217,21.686359968076808,42.635616731805975,21775.34052558535,6.384923102604237,10.685521470279674,12.300368288679708,13.684841045813634,11.099598186081819,-708.9680573155064,12.535576721445938,11.623152883486293
325657,682.3339064756302,684.0817923527936,682.66710149918,683.2308435748618,681.1717297052988,680.4686401294332,708.4206380581188,26946.030158809783,661.3793604076658,669.696090682569,676.6363948123775,679.5352584406232,676.7817845458387,-1208.7299549618665,679.029400239095,675.8378927756194
325658,887.5074681770657,888.7933708132932,886.9993983261825,886.7638426471607,885.4260460710047,883.6971836011871,915.2248657555963,28562.172148196263,865.6190614718262,876.5012430160151,887.2389027003445,889.898090912322,887.5593739088977,-1386.146768808929,890.5423769842075,885.5415169739715
325659,732.05201651945,733.9268736626566,731.7854171889581,730.9536728120439,729.961831774654,727.4871815938734,758.9604208730216,27102.437062370667,717.2792714119998,729.0246382575007,741.0829367990046,741.8820427916108,740.2888683139539,-1281.4730378059276,743.7594360446124,737.9688237825891
325660,641.8884189933124,645.4978676002465,642.8502924528093,642.1826882253835,641.0086204465608,638.2367373103239,668.4216269909139,25873.16289990981,637.7431781556404,650.3774890378315,661.6979808437532,660.7229598403383,659.3648111092377,-1188.3708137831145,663.1884147022611,658.0473260330618
325661,725.6151745015859,730.659566055956,727.9897406326954,728.0426485165628,726.1973970093358,723.4800525533707,752.7619963588744,26142.52240668648,726.667840388018,741.5390409932006,751.480838172077,750.0242161269185,747.7369303884107,-1220.3788186750116,752.332940233985,748.8721531241533
325662,720.9535857242649,725.9897480017287,724.3052469924851,724.7724113050408,722.2673188610916,719.5456700878856,747.9142339407581,26048.570414023547,721.5800084153441,738.4748224604355,747.065966203307,746.37396370179,741.9607986352762,-1216.5366669307493,748.0995032330123,746.0369956847758
325663,564.4391642673445,568.5979269347648,568.2240506627545,568.6055588934908,565.7600259291619,562.8483828213939,590.030838235557,24731.110297420615,567.6773462764507,584.1276247302308,591.0140138985248,591.8335640743841,584.957478211812,-1105.4428034271,593.0087636789209,590.9995155101715
325664,527.4219598941411,531.1443664113275,531.2603220905412,531.7181400971076,528.5074842160008,525.6829405889918,552.4944479601959,24059.442925486142,538.3884000203432,552.8242029163907,557.9116003532636,560.1920400675396,551.9126209935639,-1052.676858338902,561.6125821291499,558.4545976225365
325665,684.8231808856232,689.1863411997194,688.6944410187527,689.5744574535552,685.8348325159809,683.7057283702115,711.2675778850542,24917.818091477522,701.2299815232882,714.7696451538789,719.2657889836835,721.8959483898268,713.7946374287847,-1133.0286919336008,724.4855081306549,719.9857089878379
325666,742.3854825265918,748.1740055815192,746.805100095031,747.7709437520949,743.6052916112685,742.6027100020108,770.3012857146373,25271.026065126513,757.7308070252377,771.5437459289728,776.9847963223642,778.6486428524593,771.3109748774626,-1164.8786697378441,781.9111549143032,776.8740798379825
325667,576.1714046208654,583.2598479196974,581.8346405746092,582.117268392404,577.662369377219,577.7846820562175,604.1137892186597,23878.53354136079,586.5038196472917,599.9315288985888,606.2562672583498,606.8871103152251,599.5139104185661,-1040.4116800213433,608.8977383490012,604.5363513490508
