Tm,Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
330419,-6965.631757946895,1238.5478308710283,-9020.095612048171,3627.9401210601955,-6790.254351315202,1239.180869026026,-7192.601218072015,-8703.191690501057,7081.761422589032,1250.4860106295757,1273.1076723449798,10435.636799433287,1074.4911242386934,1252.3481771750692,1248.213300545062,-19951.573239254885
330420,-16636.68612928677,2173.7303734640514,-34318.4617408404,3007.4413300384367,-25760.281037183948,2170.285928847471,-30827.399800971318,-24513.45329911784,8820.442214529463,2135.257783130657,2158.9822150676055,12195.931214979182,447.4007277114759,2137.281711766551,2125.1329295739947,-59252.40679319833
330421,-22285.6088203857,2856.7673177240063,-46141.05711654881,2028.5705449063184,-35329.76500469848,2850.5793535370603,-41570.43265122733,-33570.554674283245,9330.666287105012,2804.045857389453,2826.5710290129646,12710.741415109052,-739.5611272516114,2806.0653588810783,2789.730021286151,-79720.72361223696
330422,-21333.312882410282,3025.857296045744,-43033.70957561545,1766.918059724927,-33394.940028141995,3019.052738202153,-38350.0328100554,-32712.97037629788,8058.845902250552,2988.205592906284,3008.3172112013867,11418.767482613815,-1917.4602984934422,2990.668955327261,2974.6073933587923,-77292.38867688848
330423,-16727.469266288343,2832.571242321006,-36529.773939090526,2865.056484075158,-27724.34193199886,2826.935404341928,-32279.012386537477,-27073.74285619537,5947.4781888414545,2807.773825196488,2826.891191902128,9273.57273465136,-2444.279857093771,2811.71003582646,2796.545391085615,-67608.76939047365
330424,-14478.343815629945,2785.845026042548,-36022.99862837163,4004.6540278673124,-26442.2355768709,2782.1486884325004,-31875.087810208075,-24838.149592728674,4443.723011753411,2762.873090429349,2782.635892619537,7737.096266505551,-2848.0596901367644,2768.787766805477,2751.50752009207,-66763.66832215065
330425,-15472.800032740828,3031.788795903705,-37638.81758717974,3961.6327588030563,-27854.36268548294,3029.923060969411,-33137.83774765785,-26338.558405198564,3571.969020739485,3015.630350894862,3035.218914040558,6830.815214604468,-3882.210047755165,3022.792322808461,3001.8201538861513,-71108.86976515499
330426,-15336.460665701412,3200.496737596076,-34761.40556174725,3636.9374349056734,-26175.793748576325,3199.702055348399,-30106.521787036094,-25711.58392545319,2306.233329812951,3197.639435331196,3214.427646982161,5515.101828164817,-5119.953366951997,3204.4267376444004,3181.9634741866967,-69001.65131538347
330427,-12844.502897013042,3124.748987806779,-31034.171436504665,4283.912763719432,-22846.911032180986,3124.007285795419,-26610.2493990421,-22362.789397629076,603.4268157098093,3122.903105395035,3135.575567115284,3746.6150433437565,-5731.31091978171,3127.912051653961,3106.4028734323383,-63431.60732778129
330428,-11716.21262858118,3124.1919665043606,-32591.940005486496,5179.4394051943045,-23115.751847481515,3123.075258535835,-28221.134267079782,-21516.124981153735,-601.3356536821533,3108.9542174914573,3119.3505823635032,2477.812800029077,-6015.779130312603,3112.1993578324445,3091.3174970828777,-64953.447455972586
330429,-13082.002426208088,3367.077396304742,-35376.44381143334,5011.698641450583,-25292.76942028165,3366.043153720338,-30692.654095206282,-23676.3408869943,-1272.888617404392,3346.430976410517,3357.789322924287,1760.4353091683913,-6813.205382889237,3348.9887301894746,3328.053647203626,-70140.15772504336
330430,-13224.492080187074,3540.6113247244766,-32401.022436036874,4322.191606430144,-23652.005380153863,3540.2376975433367,-27585.023125494015,-23459.379266547978,-2367.5484047901687,3531.272560222281,3544.8148969295307,638.4544584425831,-7891.26215839167,3533.495599301029,3514.13900982784,-67578.57583119266
330431,-10803.234343859855,3449.388544120923,-27409.408598130205,4428.639378120353,-19588.0752479941,3449.722597557474,-22861.190079488715,-20009.92999959476,-3963.2927367944076,3448.7039757072735,3462.78234344641,-978.3668337654365,-8362.304440354808,3449.7918247691905,3433.2644439044616,-60240.897923843724
330432,-9568.135969246716,3394.0463460627902,-28380.28479544777,4918.210108669773,-19394.02542619659,3394.6485109577907,-23959.412629384842,-18872.75622394828,-5040.734797756722,3387.6293358400226,3400.358391001818,-2081.8512698249806,-8367.54434234184,3387.156159086271,3371.325685128817,-60805.03553403496
330433,-11172.595079197834,3601.928213576055,-32327.098683359025,4470.439299709681,-22274.050827154297,3602.268859118758,-27635.263651446174,-21373.89234029437,-5406.304906054142,3590.897861896399,3602.5679333770017,-2484.237006599799,-8854.889324942638,3589.6848152132557,3571.9455565776007,-67584.71273201422
330434,-11772.241842320793,3788.347039848103,-30284.318873883498,3442.808810998945,-21369.042539238457,3788.3860268048047,-25471.468900842057,-21703.488771656448,-6117.900252189372,3784.3251730352254,3796.394640291874,-3247.854148447879,-9838.689937264033,3783.5374912941975,3764.6119392750757,-66794.16990432111
330435,-9182.28920608421,3692.01129314638,-24012.639025030207,3291.4217507534286,-16546.38703447442,3692.317525185879,-19550.07772298714,-17741.859300266602,-7520.582424348189,3690.3051650368043,3702.759384713116,-4719.405559837434,-10383.22271573445,3690.6677606810085,3672.1986463811936,-58193.71735699917
330436,-7214.508133763912,3580.055530211347,-23247.84225234639,3873.738515876479,-15077.751110618055,3581.1718664015716,-19053.497882306165,-15404.199682447213,-8558.51548245567,3564.593731834692,3575.6175127466536,-5836.936727745465,-10342.945386234447,3566.599824496632,3547.181321608411,-56232.57708451928
330437,-8723.216504560673,3754.728035307953,-27915.196496327226,3728.658812285963,-18361.07472245476,3756.841583940087,-23484.62759334661,-17859.32681719207,-8735.318977280276,3729.1423276842143,3737.4544389753073,-6093.374120364445,-10624.619878751693,3732.683255977269,3710.296205749595,-63463.41135239982
330438,-10151.982052531173,3974.238970574492,-28060.007536552628,2852.3064831946767,-19132.12048629867,3977.379974519662,-23405.005547745473,-19456.9737169105,-9102.40659654409,3961.2362143908135,3967.8971254482162,-6534.222432496619,-11509.682634204244,3964.704633066162,3941.1998753406665,-65282.05258534316
330439,-7969.480407325456,3887.8800128226203,-21952.119514728423,2750.369743736959,-14654.23199098826,3891.730435655566,-17609.292831719114,-15981.90566693674,-10366.787377345503,3893.4323476519667,3900.702078897603,-7873.244447694948,-12172.946369688507,3894.5479995419287,3873.4665354940153,-56479.92308906175
330440,-5264.6780427852755,3692.5881770764518,-19199.055539022163,3625.6963917369194,-11746.994272067557,3696.4219565016588,-15257.296574586413,-12508.050892113253,-11570.363220596868,3695.9629593808777,3704.424515763479,-9172.013844946989,-12249.578146790263,3694.0476419342162,3675.5117815147037,-50997.185153937855
330441,-6178.334986555939,3780.2580029655487,-23194.39125001747,3969.897744164581,-14340.79434962377,3783.6817492870555,-19118.822275291182,-14199.482433420302,-11807.012861306386,3766.6931418624263,3774.395808416665,-9541.655501185502,-12471.141227086078,3763.293121577276,3744.9653220343207,-56701.83309093082
330442,-8301.939437108538,4015.0967645665246,-25167.400154899864,3360.9553490290486,-16406.017324608827,4018.3506768963753,-20758.079414827534,-16870.360144441784,-11847.483300599386,3993.8268215346206,3998.9515484486333,-9750.688219760044,-13187.206803311601,3990.9684355806176,3972.7149900451423,-61369.29863404056
330443,-7081.182084471713,3980.4150092663353,-20463.05301898291,3230.472916639882,-13131.66593377696,3983.620138694332,-16197.181237650837,-14688.889527558262,-12701.6216782936,3961.2947693704496,3964.920068654621,-10791.36573602954,-13621.985462708375,3959.9617227090775,3943.512381546662,-55303.51299576545
330444,-4134.765660059232,3741.9048421713337,-16800.033082164475,4146.024600564078,-9616.634991481968,3744.4926213519975,-12940.709103058669,-10800.343946954941,-13778.80322006801,3718.493707323102,3723.387841210562,-12055.451619290576,-13341.126160810909,3718.6857258962514,3703.3431489964764,-48686.401976474954
330445,-4178.561415934391,3718.362948515445,-19659.464859637774,4717.170544626868,-11244.42138999874,3719.7532985734847,-15786.41617965492,-11361.663489658862,-14003.266242998094,3686.300490905875,3693.2305609924074,-12460.421514252586,-13156.045296859553,3687.587615804647,3670.5593156534796,-52199.294612143916
330446,-6352.862902611339,3906.4155911856988,-22345.434321499655,4201.701978967294,-13856.977207737255,3907.2511714154343,-18157.19124856306,-14220.511855532422,-13778.094118574232,3876.703449651598,3883.672477753045,-12422.978201394826,-13685.217614730489,3878.473007425498,3859.6066046845585,-57489.43535284378
330447,-5977.0220416016955,3894.628439242139,-18856.2366348044,3926.312614171585,-11761.265377660286,3896.4836524334746,-14732.622569506944,-13121.948008378142,-14186.837057797507,3874.1139174973778,3879.55264170086,-13057.7872040815,-14228.005107930847,3875.6732893722065,3857.788877535507,-53314.72863231339
330448,-3263.120185066573,3627.414705132012,-14994.607282738136,4825.480112689953,-8261.56844738077,3630.9467763102816,-11289.6472813894,-9314.859373899611,-14981.809080085375,3604.8319375093124,3609.9254670761206,-14136.182968815567,-14071.967117311864,3605.5745686628343,3589.5852436053246,-46413.13623015355
330449,-2755.2955585537184,3495.532716372099,-17098.114753154463,5674.959191757639,-9174.005270396154,3499.9828248590184,-13512.672076582288,-8983.575580713275,-15098.184937997708,3462.0042989136455,3469.0311065121705,-14575.112862750817,-13811.846415590246,3461.792236631567,3445.256467955423,-48288.99268513694
330450,-4770.016102566147,3600.5482529669807,-20081.90234187656,5334.087034086333,-11909.839700015289,3605.3436455220854,-16284.671187954293,-11668.200168229658,-14652.153567624307,3567.05902736268,3576.157933641099,-14456.557540062708,-14215.191053276289,3566.3855247322567,3547.7632020428427,-53502.986602282675
330451,-4931.423133523922,3575.80594725109,-17364.774248361067,4824.537441039343,-10673.103958464406,3581.279689339918,-13668.213863459783,-11428.907527274401,-14655.71126729275,3554.987535977747,3563.631180898913,-14783.78245986495,-14738.303024423896,3554.2809311510455,3535.1319724724613,-50399.79299506259
330452,-2507.6632325000833,3287.018046417699,-13609.818855067395,5366.547245576374,-7642.584971037014,3293.1168017462915,-10412.982520618229,-8251.842362267687,-15058.969452419846,3272.6316919495575,3278.749383057433,-15521.504057002905,-14493.778287169891,3271.5886235934513,3253.1678591680143,-43555.39173625345
330453,-1785.5522542704846,3088.6942105681564,-15937.172585665028,6054.059331157593,-8821.464970137495,3094.294708772345,-12976.993385684014,-8039.2478320747205,-14872.398872051454,3069.6664309750354,3074.352605933548,-15676.465724153053,-13921.600193880711,3067.7236583271742,3048.8513203100474,-45223.08048624257
330454,-3982.758501754272,3162.7078288518333,-20224.773117670396,5525.313683165421,-12467.609067871963,3166.7371403334428,-17040.701720310077,-11322.79819326502,-14119.358319297111,3144.3680175862723,3150.2136076802117,-15236.466295640827,-14048.18752036352,3141.511112623424,3121.790670299078,-51985.8229903926
330455,-5027.988389565814,3191.473447941857,-18688.10522835001,4501.005042870661,-12211.247604355964,3193.796453472679,-15426.744770658783,-12190.480417180608,-13875.784857715216,3183.177216964127,3190.5877350515675,-15241.771308382571,-14677.977249108138,3180.020006673471,3161.7614375543617,-51054.93632322211
330456,-3351.968118464143,2974.8072245842113,-14657.574107115091,4450.470121137769,-9126.941836873271,2975.788473080356,-11720.88772440653,-9499.890806042913,-14291.684522717102,2966.898495067254,2973.9017225071375,-15829.73953754959,-14845.232898136797,2964.2808600287203,2948.8694739961384,-44528.371925382555
330457,-2852.3971266859003,2815.465867628706,-16422.550029418817,4902.045491986348,-9794.176997222574,2815.5742014204448,-13658.026548073012,-9063.009460175572,-14341.469290455358,2791.214169528689,2796.9783799406787,-15976.093165796234,-14623.91357726643,2789.766595187544,2775.1335709013956,-45520.521367694266
330458,-5358.117893112544,2940.5832752141228,-21373.39788294279,4415.018463508155,-13726.112937877111,2940.5942300166544,-18355.33949722707,-12511.102207747983,-13804.374144864607,2904.233099874187,2911.0785698263644,-15463.382763139914,-14899.248379042157,2903.9033263592537,2887.936517731101,-53037.162663907235
330459,-6912.932977530989,3057.611932089588,-20475.35980649645,3344.631112131424,-13953.409897656686,3058.1903840080795,-17333.45221769642,-13925.829090664327,-13728.511756222715,3027.879111105232,3038.6336000930746,-15347.585810932498,-15589.317936441967,3027.803810700561,3011.5365740568363,-53201.0124570247
330460,-5113.271241408487,2898.745848346541,-15189.514854670562,3195.552476676798,-10058.613730310324,2899.428348813889,-12386.357522919363,-10890.076177592371,-14449.664567002204,2878.2637553309205,2892.198769667594,-15982.49646210751,-15720.041614778707,2877.756327776152,2862.5388652769598,-45301.87494198374
330461,-3757.52327250979,2736.0025614355973,-15116.891988797499,3794.4065874430053,-9239.789688562701,2735.3477693836603,-12563.587082571614,-9251.442085262446,-14888.744940224053,2710.275133470403,2723.3565656582073,-16307.795101717249,-15233.140921328306,2710.081771146499,2693.938682920514,-43786.14038021535
330462,-5848.748091117185,2885.1327605423867,-20262.49833497598,3627.8913259419273,-13011.438517711613,2882.6022726235965,-17438.408124982263,-12334.086505905912,-14524.508633609845,2851.9561556660415,2861.7440895048235,-15799.438575367289,-15105.635542834885,2853.4934143882715,2833.8255004990747,-51574.541659663366
330463,-7875.677884369055,3115.0380031600835,-20797.942310854633,2741.860449626707,-14181.315321771264,3112.2720138009695,-17686.388470460945,-14573.74047461387,-14394.457740901636,3090.202692119441,3098.99515913279,-15469.42542935699,-15519.468790015993,3093.240083020193,3071.854353608933,-54176.83467289571
