Tm,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1, -84754, -84822, -84850, -85063, -84861, -84895, -84852, -84641, -84754, -84822, -84850, -85063, -84861, -84895, -84852, -84641
2, -84747, -84819, -84847, -85064, -84866, -84893, -84837, -84648, -84747, -84819, -84847, -85064, -84866, -84893, -84837, -84648
3, -84749, -84817, -84840, -85059, -84867, -84883, -84849, -84647, -84749, -84817, -84840, -85059, -84867, -84883, -84849, -84647
4, -84754, -84822, -84849, -85054, -84871, -84897, -84836, -84644, -84754, -84822, -84849, -85054, -84871, -84897, -84836, -84644
5, -84752, -84817, -84847, -85060, -84867, -84896, -84835, -84646, -84752, -84817, -84847, -85060, -84867, -84896, -84835, -84646
6, -84766, -84807, -84853, -85062, -84866, -84882, -84850, -84649, -84766, -84807, -84853, -85062, -84866, -84882, -84850, -84649
7, -84758, -84809, -84846, -85059, -84860, -84887, -84846, -84646, -84758, -84809, -84846, -85059, -84860, -84887, -84846, -84646
8, -84753, -84814, -84848, -85059, -84864, -84891, -84836, -84624, -84753, -84814, -84848, -85059, -84864, -84891, -84836, -84624
9, -84758, -84814, -84847, -85057, -84873, -84904, -84846, -84633, -84758, -84814, -84847, -85057, -84873, -84904, -84846, -84633
10, -84756, -84812, -84851, -85053, -84862, -84901, -84846, -84640, -84756, -84812, -84851, -85053, -84862, -84901, -84846, -84640
11, -84744, -84811, -84835, -85052, -84869, -84886, -84848, -84641, -84744, -84811, -84835, -85052, -84869, -84886, -84848, -84641
12, -84747, -84812, -84851, -85069, -84868, -84886, -84839, -84631, -84747, -84812, -84851, -85069, -84868, -84886, -84839, -84631
13, -84754, -84827, -84867, -85063, -84869, -84903, -84847, -84652, -84754, -84827, -84867, -85063, -84869, -84903, -84847, -84652
14, -84744, -84821, -84855, -85057, -84869, -84897, -84862, -84658, -84744, -84821, -84855, -85057, -84869, -84897, -84862, -84658
15, -84754, -84813, -84851, -85064, -84861, -84882, -84851, -84646, -84754, -84813, -84851, -85064, -84861, -84882, -84851, -84646
16, -84753, -84812, -84856, -85059, -84857, -84896, -84843, -84646, -84753, -84812, -84856, -85059, -84857, -84896, -84843, -84646
17, -84750, -84817, -84849, -85066, -84857, -84891, -84840, -84647, -84750, -84817, -84849, -85066, -84857, -84891, -84840, -84647
18, -84754, -84821, -84854, -85067, -84855, -84896, -84847, -84657, -84754, -84821, -84854, -85067, -84855, -84896, -84847, -84657
19, -84754, -84828, -84853, -85067, -84863, -84890, -84866, -84648, -84754, -84828, -84853, -85067, -84863, -84890, -84866, -84648
20, -84755, -84816, -84841, -85064, -84864, -84888, -84851, -84646, -84755, -84816, -84841, -85064, -84864, -84888, -84851, -84646
21, -84745, -84814, -84851, -85054, -84854, -84896, -84837, -84645, -84745, -84814, -84851, -85054, -84854, -84896, -84837, -84645
22, -84744, -84819, -84848, -85056, -84865, -84888, -84841, -84648, -84744, -84819, -84848, -85056, -84865, -84888, -84841, -84648
23, -84756, -84816, -84852, -85060, -84872, -84886, -84850, -84652, -84756, -84816, -84852, -85060, -84872, -84886, -84850, -84652
24, -84755, -84814, -84859, -85079, -84868, -84886, -84859, -84649, -84755, -84814, -84859, -85079, -84868, -84886, -84859, -84649
25, -84752, -84806, -84859, -85059, -84872, -84892, -84851, -84643, -84752, -84806, -84859, -85059, -84872, -84892, -84851, -84643
26, -84749, -84813, -84855, -85059, -84873, -84888, -84841, -84642, -84749, -84813, -84855, -85059, -84873, -84888, -84841, -84642
27, -84760, -84815, -84854, -85054, -84868, -84897, -84859, -84639, -84760, -84815, -84854, -85054, -84868, -84897, -84859, -84639
28, -84752, -84815, -84852, -85061, -84870, -84894, -84862, -84647, -84752, -84815, -84852, -85061, -84870, -84894, -84862, -84647
29, -84739, -84821, -84844, -85059, -84856, -84892, -84846, -84654, -84739, -84821, -84844, -85059, -84856, -84892, -84846, -84654
30, -84743, -84809, -84851, -85066, -84860, -84892, -84849, -84651, -84743, -84809, -84851, -85066, -84860, -84892, -84849, -84651
31, -84754, -84808, -84864, -85065, -84864, -84897, -84851, -84651, -84754, -84808, -84864, -85065, -84864, -84897, -84851, -84651
32, -84757, -84822, -84861, -85060, -84866, -84889, -84842, -84657, -84757, -84822, -84861, -85060, -84866, -84889, -84842, -84657
33, -84760, -84818, -84864, -85065, -84870, -84888, -84850, -84637, -84760, -84818, -84864, -85065, -84870, -84888, -84850, -84637
34, -84759, -84817, -84859, -85073, -84867, -84892, -84850, -84646, -84759, -84817, -84859, -85073, -84867, -84892, -84850, -84646
35, -84746, -84815, -84849, -85062, -84860, -84892, -84846, -84649, -84746, -84815, -84849, -85062, -84860, -84892, -84846, -84649
36, -56969, -57014, -57081, -57273, -57076, -57097, -57089, -56865, -56969, -57014, -57081, -57273, -57076, -57097, -57089, -56865
37, 54801, 54758, 54578, 54410, 54644, 54664, 54518, 54809, 54801, 54758, 54578, 54410, 54644, 54664, 54518, 54809
38, 82899, 82842, 82644, 82466, 82715, 82753, 82555, 82869, 82899, 82842, 82644, 82466, 82715, 82753, 82555, 82869
39, 82904, 82845, 82636, 82468, 82721, 82763, 82566, 82871, 82904, 82845, 82636, 82468, 82721, 82763, 82566, 82871
40, 82909, 82846, 82639, 82481, 82730, 82758, 82563, 82870, 82909, 82846, 82639, 82481, 82730, 82758, 82563, 82870
41, 82901, 82845, 82648, 82479, 82725, 82752, 82563, 82869, 82901, 82845, 82648, 82479, 82725, 82752, 82563, 82869
42, 82909, 82869, 82658, 82478, 82728, 82771, 82560, 82866, 82909, 82869, 82658, 82478, 82728, 82771, 82560, 82866
43, 82903, 82853, 82661, 82476, 82724, 82770, 82562, 82871, 82903, 82853, 82661, 82476, 82724, 82770, 82562, 82871
44, 82908, 82845, 82657, 82471, 82726, 82758, 82573, 82872, 82908, 82845, 82657, 82471, 82726, 82758, 82573, 82872
45, 82902, 82848, 82646, 82469, 82726, 82758, 82563, 82880, 82902, 82848, 82646, 82469, 82726, 82758, 82563, 82880
46, 82919, 82851, 82644, 82475, 82723, 82761, 82566, 82881, 82919, 82851, 82644, 82475, 82723, 82761, 82566, 82881
47, 82923, 82845, 82648, 82474, 82719, 82756, 82563, 82876, 82923, 82845, 82648, 82474, 82719, 82756, 82563, 82876
48, 82908, 82844, 82644, 82476, 82730, 82748, 82560, 82873, 82908, 82844, 82644, 82476, 82730, 82748, 82560, 82873
49, 82902, 82854, 82651, 82473, 82729, 82761, 82556, 82877, 82902, 82854, 82651, 82473, 82729, 82761, 82556, 82877
50, 82901, 82845, 82654, 82481, 82728, 82754, 82565, 82875, 82901, 82845, 82654, 82481, 82728, 82754, 82565, 82875
51, 82901, 82849, 82653, 82476, 82716, 82751, 82560, 82873, 82901, 82849, 82653, 82476, 82716, 82751, 82560, 82873
52, 82897, 82863, 82638, 82482, 82726, 82742, 82559, 82877, 82897, 82863, 82638, 82482, 82726, 82742, 82559, 82877
53, 82905, 82865, 82640, 82491, 82731, 82746, 82569, 82873, 82905, 82865, 82640, 82491, 82731, 82746, 82569, 82873
54, 82908, 82868, 82647, 82488, 82738, 82765, 82571, 82869, 82908, 82868, 82647, 82488, 82738, 82765, 82571, 82869
55, 82904, 82863, 82640, 82478, 82720, 82755, 82551, 82864, 82904, 82863, 82640, 82478, 82720, 82755, 82551, 82864
56, 82908, 82858, 82633, 82481, 82726, 82763, 82556, 82865, 82908, 82858, 82633, 82481, 82726, 82763, 82556, 82865
57, 82898, 82856, 82641, 82469, 82722, 82763, 82563, 82874, 82898, 82856, 82641, 82469, 82722, 82763, 82563, 82874
58, 82908, 82864, 82649, 82488, 82714, 82761, 82568, 82874, 82908, 82864, 82649, 82488, 82714, 82761, 82568, 82874
59, 82901, 82874, 82641, 82486, 82727, 82757, 82561, 82874, 82901, 82874, 82641, 82486, 82727, 82757, 82561, 82874
60, 82908, 82866, 82650, 82476, 82728, 82762, 82553, 82879, 82908, 82866, 82650, 82476, 82728, 82762, 82553, 82879
61, 82901, 82860, 82651, 82481, 82721, 82761, 82564, 82877, 82901, 82860, 82651, 82481, 82721, 82761, 82564, 82877
62, 82904, 82856, 82658, 82482, 82728, 82753, 82549, 82878, 82904, 82856, 82658, 82482, 82728, 82753, 82549, 82878
63, 82905, 82861, 82648, 82479, 82724, 82753, 82563, 82898, 82905, 82861, 82648, 82479, 82724, 82753, 82563, 82898
64, 82905, 82857, 82649, 82473, 82723, 82761, 82564, 82890, 82905, 82857, 82649, 82473, 82723, 82761, 82564, 82890
65, 82892, 82855, 82649, 82476, 82718, 82761, 82556, 82879, 82892, 82855, 82649, 82476, 82718, 82761, 82556, 82879
66, 82897, 82857, 82650, 82471, 82722, 82765, 82563, 82880, 82897, 82857, 82650, 82471, 82722, 82765, 82563, 82880
67, 82901, 82858, 82646, 82469, 82714, 82758, 82558, 82878, 82901, 82858, 82646, 82469, 82714, 82758, 82558, 82878
68, 82905, 82850, 82638, 82463, 82724, 82748, 82556, 82877, 82905, 82850, 82638, 82463, 82724, 82748, 82556, 82877
